sample	condition	subtype	gene	raw_count	detected	log2CPM_TMM	log2CPM_library	subset_definition
BPD 2	BPD	All Endothelial	ECM1	0	False	-1.81448895337973	-1.92662628520422	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	GDF15	1	True	0.505378433680726	0.638217017082357	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	LGALS1	143	True	7.34533053059823	7.5330466154294	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	MAP1B	18	True	4.37279458396848	4.55725932188051	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	PHLDA3	4	True	2.27054921997477	2.44267472633918	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	RPS27L	56	True	5.9967273534161	6.18370986885857	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	S100A6	637	True	9.49865137124475	9.68673499132352	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	TINAGL1	39	True	5.47757187489219	5.66403101718311	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	ZFP36L2	371	True	8.71918365374172	8.90719091857856	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	All Endothelial	ZMAT3	6	True	2.82689403355178	3.00417935588039	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	APLN	1080	True	7.87402327482412	7.67811791159344	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	BAX	1109	True	7.91220560700261	7.71629751042038	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	CCN2	5540	True	10.2314696918746	10.0354800967506	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	CCND1	3013	True	9.3530705049015	9.15709803039666	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	CCNG1	211	True	5.5254897279256	5.33001264239959	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	CDKN1A	917	True	7.6382963528729	7.44240956498314	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	COL18A1	1246	True	8.08006307857761	7.88414378771974	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	ECM1	79	True	4.12297387743498	3.92837230321778	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	GDF15	2007	True	8.76722479432142	8.57127112547019	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	LGALS1	7531	True	10.6743349596402	10.4783399663203	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	MAP1B	507	True	6.78502426945499	6.58923687018418	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	PHLDA3	270	True	5.87925897429395	5.68366601248094	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	RPS27L	2286	True	8.95489468473499	8.7589341427353	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	S100A6	45268	True	13.2617039243042	13.0656964066096	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	TINAGL1	800	True	7.44167567913702	7.24580688323479	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	ZFP36L2	596	True	7.01779534472244	6.82197477722482	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 1	BPD+PH	All Endothelial	ZMAT3	230	True	5.64914479437571	5.45362394086224	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	APLN	181	True	7.87376424471399	7.71622755038234	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	BAX	205	True	8.05319371467586	7.89565047449285	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	CCN2	1292	True	10.7078041932472	10.5502193753459	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	CCND1	573	True	9.53511285962039	9.37753788778324	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	CCNG1	34	True	5.4689220892499	5.3116258192049	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	CDKN1A	156	True	7.65960079250871	7.50207305545087	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	COL18A1	224	True	8.1809375492717	8.02339012075056	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	ECM1	11	True	3.86012559966609	3.70343674648581	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	GDF15	361	True	8.8689011840877	8.71133659784958	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	LGALS1	1271	True	10.6841662054872	10.5265815172605	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	MAP1B	85	True	6.78528296552793	6.62780932260923	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	PHLDA3	63	True	6.35446994479812	6.1970377193625	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	RPS27L	453	True	9.19623521267538	9.03866492617091	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	S100A6	7531	True	13.2508363880542	13.0932450672543	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	TINAGL1	148	True	7.58376158737568	7.42623735479675	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	ZFP36L2	83	True	6.75102106396442	6.59355028142116	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD+PH 2	BPD+PH	All Endothelial	ZMAT3	52	True	6.07868973162658	5.92129130085593	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	APLN	9	True	7.01501217813728	7.17517442900163	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	BAX	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	CCN2	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	CCND1	7	True	6.66059037304277	6.8189208907934	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	CCNG1	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	CDKN1A	2	True	4.94186606781029	5.08078434522977	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	COL18A1	5	True	6.18971546130695	6.34479460988235	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	ECM1	1	True	4.05745745292865	4.17242872261756	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	GDF15	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	LGALS1	18	True	8.00064101287274	8.16405349525568	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	MAP1B	1	True	4.05745745292865	4.17242872261756	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	PHLDA3	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	RPS27L	7	True	6.66059037304277	6.8189208907934	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	S100A6	146	True	11.0078223352368	11.1741321668726	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	TINAGL1	6	True	6.44427909753245	6.60124779227027	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	ZFP36L2	16	True	7.83252025544861	7.9955233076651	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 1	BPD	aCap	ZMAT3	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	APLN	7	True	6.63592288236705	6.85223618410664	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	BAX	2	True	4.91868026711328	5.11255601541332	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	CCN2	5	True	6.16529763852282	6.37785292124243	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	CCND1	21	True	8.19587352767629	8.41860278268666	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
BPD 2	BPD	aCap	CCNG1	0	False	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap
