gene_upper	bulk_log2FC	bulk_FDR	pseudobulk_logFC	pseudobulk_FDR	CellType	both_fdr05	core_gene	locked33
0610009B22RIK	-0.381207806848702	0.118125695505251	-0.238672335467542	0.36516473697595	Cap	False	False	False
0610010F05RIK	-0.117355881261096	0.234315946877308	-0.720526001963773	0.0104618044749895	Cap	False	False	False
0610010K14RIK	-0.751787131232933	0.0028999223705705	-0.495516846322128	0.0641668758227888	Cap	False	False	False
0610012G03RIK	0.0900411082347897	0.515563543573084	0.414497805894855	0.0031009008338357	Cap	False	False	False
0610030E20RIK	-0.201384650751673	0.108476409654715	-0.706267237161524	0.0063433102371771	Cap	False	False	False
0610037L13RIK	-0.326041034559485	2.31300530672567e-05	0.0530195841674034	0.825428390352864	Cap	False	False	False
1110004F10RIK	0.106990404950451	0.179182961312323	0.186818196101047	0.230480020445242	Cap	False	False	False
1110008P14RIK	0.632258007700585	2.07585205133955e-05	1.17872816176358	5.79743130788353e-07	Cap	True	False	False
1110012L19RIK	0.124297514181059	0.553634953150381	0.191815126249062	0.53188364073924	Cap	False	False	False
1110032A03RIK	-0.101380847340185	0.680719306934197	0.112840514851363	0.726925122192283	Cap	False	False	False
1110038F14RIK	-0.153333399244335	0.127954120152301	-0.726604179235502	7.23113889646112e-06	Cap	False	False	False
1110059E24RIK	-0.171710326313945	0.190445946795937	-0.227684810195606	0.3059917617586	Cap	False	False	False
1110059G10RIK	-0.145944129000851	0.373948546675058	-0.0816816920756908	0.701339439226673	Cap	False	False	False
1110065P20RIK	-0.0404093703017806	0.878032019280569	0.534365698463978	0.0148977133669288	Cap	False	False	False
1190002N15RIK	0.0610483607652759	0.77660944867139	0.318127214053221	0.383371817047121	Cap	False	False	False
1190007I07RIK	-0.325944906214381	0.180145585215166	-0.418731408788671	0.250864289999985	Cap	False	False	False
1300002E11RIK	0.099017449363187	0.692882787832461	-0.0296615277413582	0.912987915346198	Cap	False	False	False
1500011B03RIK	0.0359825654137026	0.913166095888897	0.246734909300022	0.499002068036488	Cap	False	False	False
1500011K16RIK	0.155732595575295	0.364117822538927	1.00679698107419	4.46119007365324e-07	Cap	False	False	False
1600002K03RIK	-0.016176241592973	0.962291465819446	1.64663385553863	9.5769490387039e-06	Cap	False	False	False
1600012H06RIK	-0.0058620952941242	0.96220288969906	0.550419421640323	0.0107161030313811	Cap	False	False	False
1600020E01RIK	-0.461299284609536	2.18163650671049e-05	-0.619129325024226	0.0063443790189068	Cap	True	False	False
1700017B05RIK	0.752290934766106	2.21142626419408e-07	0.311852781108083	0.132776930409598	Cap	False	False	False
1700020I14RIK	-0.142416622643605	0.0008396082273939	-0.393792271377165	0.0056771303000451	Cap	True	False	False
1700021F05RIK	0.023244493312097	0.924771028264578	0.79091323492604	0.0034891179499907	Cap	False	False	False
1700086O06RIK	-0.0151689077383824	0.968283934171157	-1.01836109573893	0.0044455211486453	Cap	False	False	False
1700123O20RIK	-0.103384859886784	0.367485200958418	0.439696374517669	0.0066334160170988	Cap	False	False	False
1810013L24RIK	-0.0405593319233807	0.785039043423859	-0.421780325099418	0.0510639970468834	Cap	False	False	False
1810022K09RIK	0.1284769256358	0.431238100613074	0.401019834851938	0.031285570389427	Cap	False	False	False
1810030O07RIK	-0.192709133188437	0.0454769788458987	-0.159836147539989	0.539433249640367	Cap	False	False	False
1810032O08RIK	0.102557666495082	0.762736213487405	1.20570787274453	0.0005859751582062	Cap	False	False	False
1810037I17RIK	0.125240080449579	0.169910344034646	0.511979818416108	0.0011274524926298	Cap	False	False	False
1810058I24RIK	0.164948510777046	0.201299717011319	0.671409928827159	2.60331598324654e-05	Cap	False	False	False
2010111I01RIK	0.540494495754443	1.4950959748794502e-14	0.762768751836904	9.6245579332673e-06	Cap	True	False	False
2010320M18RIK	0.0813798156367476	0.814571409762628	-0.210068326710491	0.537180520568803	Cap	False	False	False
2210016F16RIK	0.0142718665549618	0.921646133329808	-0.235869479584878	0.335114817450637	Cap	False	False	False
2210016L21RIK	-0.0163367958661989	0.929326580743014	0.10391545775995	0.617464785212988	Cap	False	False	False
2300009A05RIK	0.360221869464162	0.279343840544692	0.489425527880093	0.0321851254269974	Cap	False	False	False
2310001H17RIK	-0.260918149912258	0.156759282777203	-0.649118124065547	0.0199623101832205	Cap	False	False	False
2310009B15RIK	0.370794338490749	0.109918449835146	0.512815004171579	0.0135552884761437	Cap	False	False	False
2310011J03RIK	0.0129941382512877	0.946162939847037	0.588451418261777	0.0135232152024002	Cap	False	False	False
2310022B05RIK	0.0478214253757276	0.60258178408346	0.205464686608246	0.450457348324792	Cap	False	False	False
2310033P09RIK	-0.319455993458543	0.000865131612298	-0.7569854826384	2.27887142507604e-06	Cap	True	False	False
2310039H08RIK	0.142088150780175	0.519706863674365	0.54635673805794	0.0038492395675928	Cap	False	False	False
