population	signature	analysis	permutation_p_value	n_donors	n_BPD	n_normal	beta_BPD	hc3_se	ci95_low	ci95_high	t_value	df_residual	p_value	fdr_bh_across_primary_tests	population_label	signature_label
all_endothelium	strict_25	primary	0.8453154684531546	21	13	8	0.0369690639662421	0.1698668374757321	-0.3214186358973376	0.3953567638298219	0.2176355580383587	17	0.8303038704581055	0.9880927881521464	All endothelium	Strict 25
all_endothelium	extended_33	primary	0.9513048695130488	21	13	8	0.0097919167531579	0.1578452271124523	-0.3232324022953316	0.3428162358016475	0.0620349245415063	17	0.9512585474527272	0.9880927881521464	All endothelium	Extended 33
capillary_combined	strict_25	primary	0.9285071492850716	21	13	8	0.0142235191166008	0.1676106633490998	-0.3394040694283054	0.3678511076615072	0.0848604667053677	17	0.9333636955993352	0.9880927881521464	CAP1 + CAP2	Strict 25
capillary_combined	extended_33	primary	0.987001299870013	21	13	8	-0.0023561999188461	0.1555756139173327	-0.3305920536926163	0.325879653854924	-0.0151450465758609	17	0.9880927881521464	0.9880927881521464	CAP1 + CAP2	Extended 33
CAP1	strict_25	primary	0.6738326167383262	21	13	8	0.0731996250913937	0.1714325275207399	-0.2884913920192019	0.4348906422019894	0.4269879593447521	17	0.6747468177401209	0.9880927881521464	CAP1	Strict 25
CAP1	extended_33	primary	0.6164383561643836	21	13	8	0.077857076727438	0.167219784578536	-0.2749458296982885	0.4306599831531646	0.4655972791955841	17	0.64741309522688	0.9880927881521464	CAP1	Extended 33
CAP2	strict_25	primary	0.5096490350964904	21	13	8	0.0854357666741134	0.1421410470192574	-0.2144556285766538	0.3853271619248806	0.6010632992068676	17	0.5557282312204915	0.9880927881521464	CAP2	Strict 25
CAP2	extended_33	primary	0.6656334366563343	21	13	8	0.0579846791834689	0.1384847365095025	-0.2341925751964216	0.3501619335633595	0.4187080875840069	17	0.6806717638561579	0.9880927881521464	CAP2	Extended 33
