analysis	configuration	method	mean_spearman_across_four_tasks	rank
all_nonempty_subsets	14	pca_latent	0.39090093607506143	6.0
all_nonempty_subsets	14	scgen_adapted	0.45962390160735955	1.0
all_nonempty_subsets	14	sinkhorn_ot	0.4097782281018656	5.0
all_nonempty_subsets	14	vae_latent	0.4495770596588646	3.0
all_nonempty_subsets	15	cpa_adapted	0.47175774930251796	4.0
all_nonempty_subsets	15	cvae_counterfactual	0.49237545750516787	2.0
all_nonempty_subsets	15	gene_linear	0.029802147071973078	7.0
all_nonempty_subsets	15	pca_latent	0.4200620360832565	6.0
all_nonempty_subsets	15	scgen_adapted	0.49534034105780705	1.0
all_nonempty_subsets	15	sinkhorn_ot	0.44110416288065873	5.0
all_nonempty_subsets	15	vae_latent	0.4848878949182791	3.0
all_nonempty_subsets	16	cpa_adapted	0.37517013388767045	3.0
all_nonempty_subsets	16	cvae_counterfactual	0.3802019078194256	2.0
all_nonempty_subsets	16	gene_linear	0.018890458825642366	7.0
all_nonempty_subsets	16	pca_latent	0.33003298348467247	6.0
all_nonempty_subsets	16	scgen_adapted	0.38387901284264586	1.0
all_nonempty_subsets	16	sinkhorn_ot	0.3480080375652306	5.0
all_nonempty_subsets	16	vae_latent	0.3732328931750745	4.0
all_nonempty_subsets	17	cpa_adapted	0.3654224829992978	2.0
all_nonempty_subsets	17	cvae_counterfactual	0.3615176510959711	3.0
all_nonempty_subsets	17	gene_linear	0.01961932949835293	7.0
all_nonempty_subsets	17	pca_latent	0.3116895532463171	6.0
all_nonempty_subsets	17	scgen_adapted	0.3657162030219116	1.0
all_nonempty_subsets	17	sinkhorn_ot	0.32511623785197324	5.0
all_nonempty_subsets	17	vae_latent	0.3547656487863459	4.0
all_nonempty_subsets	18	cpa_adapted	0.3925130627652592	3.0
all_nonempty_subsets	18	cvae_counterfactual	0.39552794970067917	2.0
all_nonempty_subsets	18	gene_linear	0.021687522546026114	7.0
all_nonempty_subsets	18	pca_latent	0.3408013738237204	6.0
all_nonempty_subsets	18	scgen_adapted	0.40020897478324163	1.0
all_nonempty_subsets	18	sinkhorn_ot	0.3565320284584068	5.0
all_nonempty_subsets	18	vae_latent	0.3885214003241366	4.0
all_nonempty_subsets	19	cpa_adapted	0.4641753380228916	3.0
all_nonempty_subsets	19	cvae_counterfactual	0.47026379072672353	2.0
all_nonempty_subsets	19	gene_linear	0.04194790356117758	7.0
all_nonempty_subsets	19	pca_latent	0.4133791321147387	6.0
all_nonempty_subsets	19	scgen_adapted	0.47266533970733904	1.0
all_nonempty_subsets	19	sinkhorn_ot	0.42863609838026306	5.0
all_nonempty_subsets	19	vae_latent	0.4637325647128465	4.0
all_nonempty_subsets	20	cpa_adapted	0.4601873937915199	1.0
all_nonempty_subsets	20	cvae_counterfactual	0.4560422936855513	3.0
all_nonempty_subsets	20	gene_linear	0.04617767228047557	7.0
all_nonempty_subsets	20	pca_latent	0.40078555742074495	6.0
all_nonempty_subsets	20	scgen_adapted	0.45814771629844114	2.0
all_nonempty_subsets	20	sinkhorn_ot	0.4116093468388583	5.0
all_nonempty_subsets	20	vae_latent	0.44829462185841495	4.0
all_nonempty_subsets	21	cpa_adapted	0.4863513273189458	3.0
all_nonempty_subsets	21	cvae_counterfactual	0.4908972265453637	2.0
all_nonempty_subsets	21	gene_linear	0.0494555274742866	7.0
all_nonempty_subsets	21	pca_latent	0.4302385999261263	6.0
all_nonempty_subsets	21	scgen_adapted	0.49347423416624114	1.0
all_nonempty_subsets	21	sinkhorn_ot	0.4435247552444114	5.0
all_nonempty_subsets	21	vae_latent	0.4837006765251583	4.0
all_nonempty_subsets	22	cpa_adapted	0.503879365754097	4.0
all_nonempty_subsets	22	cvae_counterfactual	0.5249570718172945	2.0
all_nonempty_subsets	22	gene_linear	0.041750481883778695	7.0
all_nonempty_subsets	22	pca_latent	0.45293910229024337	6.0
all_nonempty_subsets	22	scgen_adapted	0.5260393046690242	1.0
all_nonempty_subsets	22	sinkhorn_ot	0.4766448858170198	5.0
all_nonempty_subsets	22	vae_latent	0.5170910509367393	3.0
all_nonempty_subsets	23	cpa_adapted	0.49341438108530167	4.0
all_nonempty_subsets	23	cvae_counterfactual	0.5074433197751769	2.0
all_nonempty_subsets	23	gene_linear	0.043879546537776606	7.0
all_nonempty_subsets	23	pca_latent	0.43705599361337155	6.0
all_nonempty_subsets	23	scgen_adapted	0.5089194982284188	1.0
all_nonempty_subsets	23	sinkhorn_ot	0.45773659389573673	5.0
all_nonempty_subsets	23	vae_latent	0.5000193845323467	3.0
all_nonempty_subsets	24	cpa_adapted	0.5224346047914785	4.0
all_nonempty_subsets	24	cvae_counterfactual	0.5431714624387939	2.0
all_nonempty_subsets	24	gene_linear	0.04415224481731443	7.0
all_nonempty_subsets	24	pca_latent	0.4662170936215666	6.0
all_nonempty_subsets	24	scgen_adapted	0.5446359376788663	1.0
all_nonempty_subsets	24	sinkhorn_ot	0.4890625286745298	5.0
all_nonempty_subsets	24	vae_latent	0.5353302197917612	3.0
all_nonempty_subsets	25	cpa_adapted	0.42584698937663096	3.0
all_nonempty_subsets	25	cvae_counterfactual	0.4309979127530516	2.0
all_nonempty_subsets	25	gene_linear	0.03324055657098372	7.0
all_nonempty_subsets	25	pca_latent	0.3761880410229826	6.0
all_nonempty_subsets	25	scgen_adapted	0.4331746094637051	1.0
all_nonempty_subsets	25	sinkhorn_ot	0.3959664033591016	5.0
all_nonempty_subsets	25	vae_latent	0.4236752180485567	4.0
all_nonempty_subsets	26	cpa_adapted	0.41609933848825836	1.0
all_nonempty_subsets	26	cvae_counterfactual	0.4123136560295971	3.0
all_nonempty_subsets	26	gene_linear	0.03396942724369428	7.0
all_nonempty_subsets	26	pca_latent	0.3578446107846272	6.0
all_nonempty_subsets	26	scgen_adapted	0.41501179964297086	2.0
all_nonempty_subsets	26	sinkhorn_ot	0.3730746036458443	5.0
all_nonempty_subsets	26	vae_latent	0.4052079736598281	4.0
all_nonempty_subsets	27	cpa_adapted	0.4431899182542197	3.0
all_nonempty_subsets	27	cvae_counterfactual	0.4463239546343052	2.0
all_nonempty_subsets	27	gene_linear	0.036037620291367464	7.0
all_nonempty_subsets	27	pca_latent	0.3869564313620305	6.0
all_nonempty_subsets	27	scgen_adapted	0.4495045714043009	1.0
all_nonempty_subsets	27	sinkhorn_ot	0.40449039425227795	5.0
all_nonempty_subsets	27	vae_latent	0.4389637251976187	4.0
all_nonempty_subsets	28	cpa_adapted	0.4628846058258882	5.0
all_nonempty_subsets	28	cvae_counterfactual	0.4693185802847526	3.0
all_nonempty_subsets	28	gene_linear	0.09950817987969568	7.0
all_nonempty_subsets	28	pca_latent	0.45533364009276334	6.0
all_nonempty_subsets	28	scgen_adapted	0.48075141273103955	2.0
all_nonempty_subsets	28	sinkhorn_ot	0.46651568339622207	4.0
all_nonempty_subsets	28	vae_latent	0.48176316379030437	1.0
all_nonempty_subsets	29	cpa_adapted	0.4588966615945164	3.0
all_nonempty_subsets	29	cvae_counterfactual	0.45509708324358045	4.0
all_nonempty_subsets	29	gene_linear	0.10373794859899366	7.0
all_nonempty_subsets	29	pca_latent	0.44274006539876953	6.0
all_nonempty_subsets	29	scgen_adapted	0.46623378932214166	2.0
all_nonempty_subsets	29	sinkhorn_ot	0.4494889318548173	5.0
all_nonempty_subsets	29	vae_latent	0.4663252209358729	1.0
all_nonempty_subsets	30	cpa_adapted	0.48506059512194233	4.0
all_nonempty_subsets	30	cvae_counterfactual	0.4899520161033928	3.0
all_nonempty_subsets	30	gene_linear	0.1070158037928047	7.0
all_nonempty_subsets	30	pca_latent	0.4721931079041509	6.0
all_nonempty_subsets	30	scgen_adapted	0.5015603071899417	2.0
all_nonempty_subsets	30	sinkhorn_ot	0.4814043402603704	5.0
all_nonempty_subsets	30	vae_latent	0.5017312756026162	1.0
all_nonempty_subsets	31	cpa_adapted	0.5025886335570935	5.0
all_nonempty_subsets	31	cvae_counterfactual	0.5240118613753235	3.0
all_nonempty_subsets	31	gene_linear	0.09931075820229679	7.0
all_nonempty_subsets	31	pca_latent	0.49489361026826795	6.0
all_nonempty_subsets	31	scgen_adapted	0.5341253776927246	2.0
all_nonempty_subsets	31	sinkhorn_ot	0.5145244708329788	4.0
all_nonempty_subsets	31	vae_latent	0.5351216500141972	1.0
all_nonempty_subsets	32	cpa_adapted	0.4921236488882982	5.0
all_nonempty_subsets	32	cvae_counterfactual	0.5064981093332059	3.0
all_nonempty_subsets	32	gene_linear	0.10143982285629469	7.0
all_nonempty_subsets	32	pca_latent	0.47901050159139613	6.0
all_nonempty_subsets	32	scgen_adapted	0.5170055712521193	2.0
all_nonempty_subsets	32	sinkhorn_ot	0.49561617891169574	4.0
all_nonempty_subsets	32	vae_latent	0.5180499836098046	1.0
all_nonempty_subsets	33	cpa_adapted	0.521143872594475	5.0
all_nonempty_subsets	33	cvae_counterfactual	0.542226251996823	3.0
all_nonempty_subsets	33	gene_linear	0.10171252113583251	7.0
all_nonempty_subsets	33	pca_latent	0.5081716015995912	6.0
all_nonempty_subsets	33	scgen_adapted	0.5527220107025668	2.0
all_nonempty_subsets	33	sinkhorn_ot	0.5269421136904888	4.0
all_nonempty_subsets	33	vae_latent	0.5533608188692192	1.0
all_nonempty_subsets	34	cpa_adapted	0.4245562571796275	5.0
all_nonempty_subsets	34	cvae_counterfactual	0.43005270231108067	4.0
all_nonempty_subsets	34	gene_linear	0.0908008328895018	7.0
all_nonempty_subsets	34	pca_latent	0.4181425490010072	6.0
all_nonempty_subsets	34	scgen_adapted	0.44126068248740563	2.0
all_nonempty_subsets	34	sinkhorn_ot	0.4338459883750606	3.0
all_nonempty_subsets	34	vae_latent	0.44170581712601453	1.0
all_nonempty_subsets	35	cpa_adapted	0.4148086062912549	3.0
all_nonempty_subsets	35	cvae_counterfactual	0.41136844558762614	4.0
all_nonempty_subsets	35	gene_linear	0.09152970356221238	7.0
all_nonempty_subsets	35	pca_latent	0.39979911876265184	6.0
all_nonempty_subsets	35	scgen_adapted	0.42309787266667137	2.0
all_nonempty_subsets	35	sinkhorn_ot	0.41095418866180333	5.0
all_nonempty_subsets	35	vae_latent	0.42323857273728593	1.0
all_nonempty_subsets	36	cpa_adapted	0.44189918605721623	5.0
all_nonempty_subsets	36	cvae_counterfactual	0.44537874419233425	3.0
all_nonempty_subsets	36	gene_linear	0.09359789660988556	7.0
all_nonempty_subsets	36	pca_latent	0.4289109393400551	6.0
all_nonempty_subsets	36	scgen_adapted	0.4575906444280014	1.0
all_nonempty_subsets	36	sinkhorn_ot	0.44236997926823696	4.0
all_nonempty_subsets	36	vae_latent	0.4569943242750766	2.0
all_nonempty_subsets	37	cpa_adapted	0.4356098777576305	4.0
all_nonempty_subsets	37	cvae_counterfactual	0.44635873571245854	3.0
all_nonempty_subsets	37	gene_linear	0.06955850675733101	7.0
all_nonempty_subsets	37	pca_latent	0.41956737127886906	6.0
all_nonempty_subsets	37	scgen_adapted	0.4549894537315513	1.0
all_nonempty_subsets	37	sinkhorn_ot	0.4352896236713977	5.0
all_nonempty_subsets	37	vae_latent	0.44958396282215324	2.0
all_nonempty_subsets	38	cpa_adapted	0.43162193352625877	4.0
all_nonempty_subsets	38	cvae_counterfactual	0.4321372386712864	3.0
all_nonempty_subsets	38	gene_linear	0.073788275476629	7.0
all_nonempty_subsets	38	pca_latent	0.4069737965848753	6.0
all_nonempty_subsets	38	scgen_adapted	0.4404718303226534	1.0
all_nonempty_subsets	38	sinkhorn_ot	0.4182628721299929	5.0
all_nonempty_subsets	38	vae_latent	0.43414601996772173	2.0
all_nonempty_subsets	39	cpa_adapted	0.4577858670536846	4.0
all_nonempty_subsets	39	cvae_counterfactual	0.46699217153109873	3.0
all_nonempty_subsets	39	gene_linear	0.07706613067044003	7.0
all_nonempty_subsets	39	pca_latent	0.4364268390902567	6.0
all_nonempty_subsets	39	scgen_adapted	0.4757983481904534	1.0
all_nonempty_subsets	39	sinkhorn_ot	0.45017828053554604	5.0
all_nonempty_subsets	39	vae_latent	0.469552074634465	2.0
all_nonempty_subsets	40	cpa_adapted	0.4753139054888359	5.0
all_nonempty_subsets	40	cvae_counterfactual	0.5010520168030295	3.0
all_nonempty_subsets	40	gene_linear	0.06936108507993213	7.0
all_nonempty_subsets	40	pca_latent	0.4591273414543737	6.0
all_nonempty_subsets	40	scgen_adapted	0.5083634186932364	1.0
all_nonempty_subsets	40	sinkhorn_ot	0.4832984111081545	4.0
all_nonempty_subsets	40	vae_latent	0.5029424490460461	2.0
all_nonempty_subsets	41	cpa_adapted	0.46484892082004053	4.0
all_nonempty_subsets	41	cvae_counterfactual	0.4835382647609119	3.0
all_nonempty_subsets	41	gene_linear	0.07149014973393003	7.0
all_nonempty_subsets	41	pca_latent	0.4432442327775019	6.0
all_nonempty_subsets	41	scgen_adapted	0.4912436122526311	1.0
all_nonempty_subsets	41	sinkhorn_ot	0.46439011918687134	5.0
all_nonempty_subsets	41	vae_latent	0.4858707826416535	2.0
all_nonempty_subsets	42	cpa_adapted	0.49386914452621733	5.0
all_nonempty_subsets	42	cvae_counterfactual	0.5192664074245289	3.0
all_nonempty_subsets	42	gene_linear	0.07176284801346786	7.0
all_nonempty_subsets	42	pca_latent	0.47240533278569696	6.0
all_nonempty_subsets	42	scgen_adapted	0.5269600517030786	1.0
all_nonempty_subsets	42	sinkhorn_ot	0.49571605396566454	4.0
all_nonempty_subsets	42	vae_latent	0.521181617901068	2.0
all_nonempty_subsets	43	cpa_adapted	0.3972815291113698	5.0
all_nonempty_subsets	43	cvae_counterfactual	0.4070928577387866	3.0
all_nonempty_subsets	43	gene_linear	0.06085115976713715	7.0
all_nonempty_subsets	43	pca_latent	0.38237628018711295	6.0
all_nonempty_subsets	43	scgen_adapted	0.4154987234879174	1.0
all_nonempty_subsets	43	sinkhorn_ot	0.4026199286502363	4.0
all_nonempty_subsets	43	vae_latent	0.40952661615786345	2.0
all_nonempty_subsets	44	cpa_adapted	0.3875338782229972	4.0
all_nonempty_subsets	44	cvae_counterfactual	0.3884086010153321	3.0
all_nonempty_subsets	44	gene_linear	0.061580030439847715	7.0
all_nonempty_subsets	44	pca_latent	0.36403284994875756	6.0
all_nonempty_subsets	44	scgen_adapted	0.3973359136671831	1.0
all_nonempty_subsets	44	sinkhorn_ot	0.37972812893697905	5.0
all_nonempty_subsets	44	vae_latent	0.39105937176913486	2.0
all_nonempty_subsets	45	cpa_adapted	0.4146244579889586	4.0
all_nonempty_subsets	45	cvae_counterfactual	0.4224188996200402	3.0
all_nonempty_subsets	45	gene_linear	0.06364822348752089	7.0
all_nonempty_subsets	45	pca_latent	0.39314467052616087	6.0
all_nonempty_subsets	45	scgen_adapted	0.43182868542851316	1.0
all_nonempty_subsets	45	sinkhorn_ot	0.4111439195434126	5.0
all_nonempty_subsets	45	vae_latent	0.4248151233069255	2.0
all_nonempty_subsets	46	cpa_adapted	0.4806895969784797	5.0
all_nonempty_subsets	46	cvae_counterfactual	0.489479028613686	3.0
all_nonempty_subsets	46	gene_linear	0.09301176535688369	7.0
all_nonempty_subsets	46	pca_latent	0.4735034900971279	6.0
all_nonempty_subsets	46	scgen_adapted	0.5008102115040328	1.0
all_nonempty_subsets	46	sinkhorn_ot	0.4880212250145327	4.0
all_nonempty_subsets	46	vae_latent	0.4988801402809425	2.0
all_nonempty_subsets	47	cpa_adapted	0.47670165274710796	3.0
all_nonempty_subsets	47	cvae_counterfactual	0.4752575315725138	4.0
all_nonempty_subsets	47	gene_linear	0.09724153407618166	7.0
all_nonempty_subsets	47	pca_latent	0.4609099154031341	6.0
all_nonempty_subsets	47	scgen_adapted	0.4862925880951349	1.0
all_nonempty_subsets	47	sinkhorn_ot	0.47099447347312795	5.0
all_nonempty_subsets	47	vae_latent	0.48344219742651096	2.0
all_nonempty_subsets	48	cpa_adapted	0.5028655862745338	5.0
all_nonempty_subsets	48	cvae_counterfactual	0.5101124644323262	3.0
all_nonempty_subsets	48	gene_linear	0.10051938926999271	7.0
all_nonempty_subsets	48	pca_latent	0.4903629579085155	6.0
all_nonempty_subsets	48	scgen_adapted	0.5216191059629349	1.0
all_nonempty_subsets	48	sinkhorn_ot	0.502909881878681	4.0
all_nonempty_subsets	48	vae_latent	0.5188482520932542	2.0
all_nonempty_subsets	49	cpa_adapted	0.5203936247096851	5.0
all_nonempty_subsets	49	cvae_counterfactual	0.544172309704257	3.0
all_nonempty_subsets	49	gene_linear	0.0928143436794848	7.0
all_nonempty_subsets	49	pca_latent	0.5130634602726325	6.0
all_nonempty_subsets	49	scgen_adapted	0.5541841764657178	1.0
all_nonempty_subsets	49	sinkhorn_ot	0.5360300124512896	4.0
all_nonempty_subsets	49	vae_latent	0.5522386265048354	2.0
all_nonempty_subsets	50	cpa_adapted	0.5099286400408898	5.0
all_nonempty_subsets	50	cvae_counterfactual	0.5266585576621393	3.0
all_nonempty_subsets	50	gene_linear	0.0949434083334827	7.0
all_nonempty_subsets	50	pca_latent	0.4971803515957607	6.0
all_nonempty_subsets	50	scgen_adapted	0.5370643700251125	1.0
all_nonempty_subsets	50	sinkhorn_ot	0.5171217205300064	4.0
all_nonempty_subsets	50	vae_latent	0.5351669601004427	2.0
