analysis	method	configurations	mean_spearman	minimum_spearman	maximum_spearman	median_rank	minimum_rank	maximum_rank	times_ranked_first	times_ranked_top3	fraction_ranked_first	fraction_ranked_top3
leave_one_animal	cpa_adapted	8	0.41641298909868896	0.3545795639788674	0.4818174618288755	4.0	2.0	5.0	0	2	0.0	0.25
leave_one_animal	cvae_counterfactual	8	0.4242568210095662	0.3607828332333081	0.5062241433746487	2.0	2.0	3.0	0	8	0.0	1.0
leave_one_animal	gene_linear	8	0.049379152113525206	0.02615700867562542	0.08710148208707358	7.0	7.0	7.0	0	0	0.0	0.0
leave_one_animal	pca_latent	8	0.37964582738622876	0.31405057007646325	0.44708078934441964	6.0	6.0	6.0	0	0	0.0	0.0
leave_one_animal	scgen_adapted	8	0.4276234345984432	0.3638932736436853	0.5067907620291864	1.0	1.0	1.0	8	8	1.0	1.0
leave_one_animal	sinkhorn_ot	8	0.39792355512739913	0.3307624626686216	0.4681975365078182	5.0	4.0	5.0	0	0	0.0	0.0
leave_one_animal	vae_latent	8	0.42154221634932604	0.35579822364570424	0.5015525633406653	3.0	2.0	4.0	0	6	0.0	0.75
