analysis	method	configurations	mean_spearman	minimum_spearman	maximum_spearman	median_rank	minimum_rank	maximum_rank	times_ranked_first	times_ranked_top3	fraction_ranked_first	fraction_ranked_top3
all_nonempty_subsets	cpa_adapted	81	0.43875455673068586	0.32748898421290606	0.5389488637470665	4.0	1.0	5.0	5	27	0.06172839506172839	0.3333333333333333
all_nonempty_subsets	cvae_counterfactual	81	0.4483853146364175	0.3267725346286	0.5623867003257563	2.0	1.0	5.0	1	75	0.012345679012345678	0.9259259259259259
all_nonempty_subsets	gene_linear	81	0.05697141100096854	0.018890458825642366	0.1070158037928047	7.0	7.0	7.0	0	0	0.0	0.0
all_nonempty_subsets	pca_latent	81	0.4037391727997153	0.28493874949905995	0.5263414516039557	6.0	6.0	6.0	0	0	0.0	0.0
all_nonempty_subsets	scgen_adapted	81	0.45310961788079007	0.32940050188235526	0.5727808094755601	1.0	1.0	2.0	67	81	0.8271604938271605	1.0
all_nonempty_subsets	sinkhorn_ot	81	0.42067240522314653	0.299346672062188	0.5484476553087996	5.0	3.0	5.0	0	2	0.0	0.024691358024691357
all_nonempty_subsets	vae_latent	81	0.4472290447566329	0.3220424721079136	0.5704777953598572	3.0	1.0	4.0	8	58	0.09876543209876543	0.7160493827160493
