analysis	configuration	method	mean_spearman_across_four_tasks	rank
one_pair_per_age_oxygen_stratum	12	cpa_adapted	0.4921236488882982	5.0
one_pair_per_age_oxygen_stratum	12	cvae_counterfactual	0.5064981093332059	3.0
one_pair_per_age_oxygen_stratum	12	gene_linear	0.10143982285629469	7.0
one_pair_per_age_oxygen_stratum	12	pca_latent	0.47901050159139613	6.0
one_pair_per_age_oxygen_stratum	12	scgen_adapted	0.5170055712521193	2.0
one_pair_per_age_oxygen_stratum	12	sinkhorn_ot	0.49561617891169574	4.0
one_pair_per_age_oxygen_stratum	12	vae_latent	0.5180499836098046	1.0
one_pair_per_age_oxygen_stratum	13	cpa_adapted	0.4356098777576305	4.0
one_pair_per_age_oxygen_stratum	13	cvae_counterfactual	0.44635873571245854	3.0
one_pair_per_age_oxygen_stratum	13	gene_linear	0.06955850675733101	7.0
one_pair_per_age_oxygen_stratum	13	pca_latent	0.41956737127886906	6.0
one_pair_per_age_oxygen_stratum	13	scgen_adapted	0.4549894537315513	1.0
one_pair_per_age_oxygen_stratum	13	sinkhorn_ot	0.4352896236713977	5.0
one_pair_per_age_oxygen_stratum	13	vae_latent	0.44958396282215324	2.0
one_pair_per_age_oxygen_stratum	14	cpa_adapted	0.43162193352625877	4.0
one_pair_per_age_oxygen_stratum	14	cvae_counterfactual	0.4321372386712864	3.0
one_pair_per_age_oxygen_stratum	14	gene_linear	0.073788275476629	7.0
one_pair_per_age_oxygen_stratum	14	pca_latent	0.4069737965848753	6.0
one_pair_per_age_oxygen_stratum	14	scgen_adapted	0.4404718303226534	1.0
one_pair_per_age_oxygen_stratum	14	sinkhorn_ot	0.4182628721299929	5.0
one_pair_per_age_oxygen_stratum	14	vae_latent	0.43414601996772173	2.0
one_pair_per_age_oxygen_stratum	15	cpa_adapted	0.4753139054888359	5.0
one_pair_per_age_oxygen_stratum	15	cvae_counterfactual	0.5010520168030295	3.0
one_pair_per_age_oxygen_stratum	15	gene_linear	0.06936108507993213	7.0
one_pair_per_age_oxygen_stratum	15	pca_latent	0.4591273414543737	6.0
one_pair_per_age_oxygen_stratum	15	scgen_adapted	0.5083634186932364	1.0
one_pair_per_age_oxygen_stratum	15	sinkhorn_ot	0.4832984111081545	4.0
one_pair_per_age_oxygen_stratum	15	vae_latent	0.5029424490460461	2.0
one_pair_per_age_oxygen_stratum	16	cpa_adapted	0.46484892082004053	4.0
one_pair_per_age_oxygen_stratum	16	cvae_counterfactual	0.4835382647609119	3.0
one_pair_per_age_oxygen_stratum	16	gene_linear	0.07149014973393003	7.0
one_pair_per_age_oxygen_stratum	16	pca_latent	0.4432442327775019	6.0
one_pair_per_age_oxygen_stratum	16	scgen_adapted	0.4912436122526311	1.0
one_pair_per_age_oxygen_stratum	16	sinkhorn_ot	0.46439011918687134	5.0
one_pair_per_age_oxygen_stratum	16	vae_latent	0.4858707826416535	2.0
