method	GSE151974	GSE243129
gene_linear	0.2506031964077841	0.0432066032892358
pca_latent	0.5136735724607696	0.3643144609274591
vae_latent	0.4909636318020887	0.4051860687465227
cvae_counterfactual	0.4404559393116263	0.40937663557016
scgen_adapted	0.46429022480647	0.4116593957546209
cpa_adapted	0.4696523527999798	0.4025727752916168
sinkhorn_ot	0.5335880046776997	0.3836254020855663
