tf	median_ulm_score	mean_abs_ulm_score	significant_contrasts	direction_consistency	median_fdr	n_targets	median_beta	median_rescue_198	median_rescue_33	positive_rescue_contrasts_33	suggested_intervention	priority_score	external_JCI_hyperoxia_vs_room_air_ulm	external_JCI_hyperoxia_vs_room_air_fdr	external_JCI_p53_EC_deletion_vs_control_hyperoxia_ulm	external_JCI_p53_EC_deletion_vs_control_hyperoxia_fdr	external_JCI_p53_null_vs_control_hyperoxia_ulm	external_JCI_p53_null_vs_control_hyperoxia_fdr	external_hyperoxia_direction_match	network_evidence_class
Nr4a2	-2.427360725953885	2.313379343479283	3	1.0	0.04728659428656101	58	-0.01891197545178354	0.0018204696104710538	0.0031322642614263763	6	activate	0.010869173161053257	-2.000584386194675	0.10275981575250626	-1.1449277990831663	0.7033763527870178	1.8652072229838317	0.33995315432548523	True	moderate
Egr2	1.885992739277234	1.8730992473566979	3	0.8333333333333334	0.2152376864105463	73	0.014513317665539004	0.0021880988444348826	0.003737826654996057	5	inhibit	0.008751650367778648	1.8896648699965934	0.12735868990421295	0.9849871963422097	0.741795539855957	-0.1842220883476664	0.9676933884620667	True	moderate
Pbx1	2.161052714417309	1.9503945331520394	3	1.0	0.07738109305500984	60	0.01987911140026197	0.001675254263502235	0.0027023184922599364	6	inhibit	0.007905880821209162	2.573661113741792	0.03350313752889633	2.188269000184473	0.19310566782951355	-1.296510411194767	0.5435616374015808	True	moderate
Atf4	3.5822446083564237	3.000213598007696	4	1.0	0.001699921558611095	123	0.01956227006752565	0.001115885251707971	0.0015663419298012626	6	inhibit	0.007832267261532272	2.080195131540772	0.09081554412841797	4.469819872858885	0.0008708712994121015	0.5822543008758965	0.7845775485038757	True	moderate
Sox2	-2.7253948844661275	2.8383043884350845	4	1.0	0.0261657340452075	82	-0.022944225223985586	0.0023635297663953114	0.0016138313110233837	4	activate	0.007634240820452692	-1.0562724885546537	0.41608062386512756	0.03622194340824728	0.9843567609786987	0.9127403926047757	0.6755861639976501	True	moderate
Tbp	2.5319451715527928	2.4109044701154443	4	0.8333333333333334	0.03402743674814701	162	0.014474827334159227	0.001480735755588214	0.0022035467493103367	5	inhibit	0.007378528761139787	1.3189456281418066	0.30798789858818054	3.151527539773285	0.03360408544540405	0.5096387781925635	0.8096573352813721	True	moderate
Hnf4a	2.419954895939704	2.1318156730022837	3	0.8333333333333334	0.043256692588329315	248	0.01042932043488546	0.0021728491147023354	0.002330260563981501	5	inhibit	0.006209607490593631	5.472052650102919	2.1568168904195772e-06	0.9695910368577209	0.7487701177597046	-0.5429069110266118	0.7955795526504517	True	moderate
Pou5f1	-2.524947800172579	2.7511182325745662	5	1.0	0.03450804762542248	84	-0.020095252019296277	0.0009048284189149824	0.0012228159685251372	4	activate	0.006167537394503526	-0.5459062550863529	0.6752992868423462	0.028685963403084287	0.9843567609786987	0.7180303745154734	0.7470057606697083	True	moderate
Pou1f1	2.2106632713526104	2.0997765054232502	3	1.0	0.07297075167298317	50	0.020434084975825495	0.0011136555911965829	0.0018705239762242254	6	inhibit	0.00589152344715976	-0.11253389477682378	0.9301944375038147	1.6815434468269015	0.4038948118686676	0.6244650135223542	0.7799776792526245	False	moderate
Ar	1.951266814336432	2.253803379000928	3	0.8333333333333334	0.24398367293179035	482	0.005683958675370117	0.0016584305902054286	0.0016325487965935248	5	inhibit	0.004599304992682981	1.757747639020644	0.15911158919334412	-0.720608816016887	0.8424763679504395	-1.2675932130315994	0.5438628792762756	True	moderate
Rarb	3.272133928462778	3.1214499705832477	4	1.0	0.0036749893333762884	54	0.027136798196008186	0.0028176195745161503	0.0005988877781720192	5	inhibit	0.0031156637292628596	5.189181648632847	6.479380317614414e-06	2.5202854747432353	0.10734634101390839	0.1625090873760436	0.9676933884620667	True	moderate
Klf4	2.0237431986857066	1.726916876236092	3	0.8333333333333334	0.11686496809124947	134	0.013554090890518771	-3.875451148210862e-05	0.0002202667151342541	5	inhibit	0.00047547788454803906	4.2742775536649145	0.0002455852518323809	2.385147682752908	0.14422360062599182	-1.906254067718863	0.3328457772731781	True	moderate
Clock	3.2476964936455803	3.1787358439653413	3	1.0	0.033396109014574904	64	0.03117757616638856	0.0026934268836657504	0.0	0	inhibit	0.0	2.036064376501072	0.09748245030641556	2.436154025045055	0.12871672213077545	1.6415760721317632	0.3853083550930023	True	moderate
Gli2	1.7602621677306556	2.1136671516260668	3	1.0	0.2465432770550251	145	0.007601760277416793	-0.0011919790733988522	-0.0006756877301213882	1	inhibit	0.0	1.52369474679178	0.22947439551353455	2.179197108221018	0.19310566782951355	4.683998987804574	0.0004707581829279661	True	moderate
Abl1	8.67160804527861	9.583840281829003	6	1.0	6.338108643303708e-14	10	0.21487053833509867	0.049799159079705946	0.07235963488414787	6	inhibit	1.386966367162271							False	screening_only
Hmgb2	9.66430494690377	9.356862836492772	6	1.0	4.242289057902694e-18	10	0.20225110301620378	0.04779244464074428	0.07375961193522218	6	inhibit	1.3803171435016182							False	screening_only
