sample	condition	subtype	gene	raw_count	detected	log2CPM_TMM	log2CPM_library	subset_definition	gene_upper	expression_mean	expression_sd	expression_z	evidence_column	expression_label
BPD 1	BPD	aCap	ZFP36L2	16	TRUE	7.83252025544861	7.9955233076651	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ZFP36L2	7.16877744721768	1.64612933226514	0.403214252502013	aCap | BPD1	7.8
BPD 1	BPD	aCap	ZMAT3	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ZMAT3	3.59743284190735	2.60191265428315	-0.860538417879691	aCap | BPD1	1.4
BPD 2	BPD	aCap	APLN	7	TRUE	6.63592288236705	6.85223618410664	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	APLN	7.74005102478059	1.06912581641232	-1.03273920193853	aCap | BPD2	6.6
BPD 2	BPD	aCap	BAX	2	TRUE	4.91868026711328	5.11255601541332	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	BAX	5.55466111120963	3.14603145613255	-0.20215336463233	aCap | BPD2	4.9
BPD 2	BPD	aCap	CCN2	5	TRUE	6.16529763852282	6.37785292124243	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCN2	6.32003185385861	3.55220313998397	-0.0435600694099073	aCap | BPD2	6.2
BPD 2	BPD	aCap	CCND1	21	TRUE	8.19587352767629	8.41860278268666	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCND1	8.66703892760347	1.5618059247749	-0.301679864606154	aCap | BPD2	8.2
BPD 2	BPD	aCap	CCNG1	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCNG1	2.89417457170636	1.92563367393091	-0.797549165019475	aCap | BPD2	1.4
BPD 2	BPD	aCap	CDKN1A	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CDKN1A	4.99215628803903	2.58638742668289	-1.4049593682761	aCap | BPD2	1.4
BPD 2	BPD	aCap	COL18A1	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	COL18A1	6.01277565689975	3.25185427851633	-1.43130294758902	aCap | BPD2	1.4
BPD 2	BPD	aCap	ECM1	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ECM1	4.01881822676569	1.8735781613545	-1.41997341702198	aCap | BPD2	1.4
BPD 2	BPD	aCap	GDF15	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	GDF15	4.68359960906057	3.84827934803726	-0.864077751483178	aCap | BPD2	1.4
BPD 2	BPD	aCap	LGALS1	21	TRUE	8.19587352767629	8.41860278268666	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	LGALS1	9.53648214876206	1.66529130409524	-0.805029497114995	aCap | BPD2	8.2
BPD 2	BPD	aCap	MAP1B	3	TRUE	5.46228971100791	5.66633156918166	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	MAP1B	5.62355016803209	1.15519765811137	-0.139595553965914	aCap | BPD2	5.5
BPD 2	BPD	aCap	PHLDA3	1	TRUE	4.03607016987018	4.20226500307734	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	PHLDA3	4.27356869849519	2.12368605679954	-0.111833162846551	aCap | BPD2	4.0
BPD 2	BPD	aCap	RPS27L	6	TRUE	6.41971625300219	6.63445552577021	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	RPS27L	7.73199158030551	1.38000769414943	-0.950918848399708	aCap | BPD2	6.4
BPD 2	BPD	aCap	S100A6	105	TRUE	10.5076741881775	10.7330248788262	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	S100A6	12.3630990353464	1.87462551968418	-0.989757595683156	aCap | BPD2	10.5
BPD 2	BPD	aCap	TINAGL1	1	TRUE	4.03607016987018	4.20226500307734	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	TINAGL1	6.31150961114199	1.58976904511092	-1.43130189147257	aCap | BPD2	4.0
BPD 2	BPD	aCap	ZFP36L2	42	TRUE	9.18955221720754	9.41391611184658	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ZFP36L2	7.16877744721768	1.64612933226514	1.22759173922816	aCap | BPD2	9.2
BPD 2	BPD	aCap	ZMAT3	0	FALSE	1.35838704292938	1.15027289730617	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ZMAT3	3.59743284190735	2.60191265428315	-0.860538417879691	aCap | BPD2	1.4
BPD+PH 1	BPD+PH	aCap	APLN	221	TRUE	8.73007924417049	8.40174039908328	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	APLN	7.74005102478059	1.06912581641232	0.926016568108088	aCap | PH1	8.7
BPD+PH 1	BPD+PH	aCap	BAX	126	TRUE	7.92600961221837	7.59823884701137	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	BAX	5.55466111120963	3.14603145613255	0.753758674722174	aCap | PH1	7.9
BPD+PH 1	BPD+PH	aCap	CCN2	206	TRUE	8.62931137752007	8.30102763087868	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCN2	6.32003185385861	3.55220313998397	0.65009782173434	aCap | PH1	8.6
BPD+PH 1	BPD+PH	aCap	CCND1	507	TRUE	9.9230962680633	9.59432885584473	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCND1	8.66703892760347	1.5618059247749	0.804233945162462	aCap | PH1	9.9
BPD+PH 1	BPD+PH	aCap	CCNG1	20	TRUE	5.34909805461154	5.02791434140289	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCNG1	2.89417457170636	1.92563367393091	1.27486526442686	aCap | PH1	5.3
BPD+PH 1	BPD+PH	aCap	CDKN1A	67	TRUE	7.02815078255934	6.70152714344655	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CDKN1A	4.99215628803903	2.58638742668289	0.787196254325877	aCap | PH1	7.0
BPD+PH 1	BPD+PH	aCap	COL18A1	164	TRUE	8.30275316278178	7.97467685773005	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	COL18A1	6.01277565689975	3.25185427851633	0.704206680173516	aCap | PH1	8.3
BPD+PH 1	BPD+PH	aCap	ECM1	21	TRUE	5.4151594270196	5.09362229589009	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ECM1	4.01881822676569	1.8735781613545	0.745280463369852	aCap | PH1	5.4
BPD+PH 1	BPD+PH	aCap	GDF15	107	TRUE	7.69289495362633	7.36535728848665	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	GDF15	4.68359960906057	3.84827934803726	0.781984641031995	aCap | PH1	7.7
BPD+PH 1	BPD+PH	aCap	LGALS1	1140	TRUE	11.0899552607836	10.7610030258288	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	LGALS1	9.53648214876206	1.66529130409524	0.932853674429981	aCap | PH1	11.1
BPD+PH 1	BPD+PH	aCap	MAP1B	50	TRUE	6.6155214733726	6.28971706897305	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	MAP1B	5.62355016803209	1.15519765811137	0.858702663025026	aCap | PH1	6.6
BPD+PH 1	BPD+PH	aCap	PHLDA3	30	TRUE	5.9034886169862	5.57978367028206	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	PHLDA3	4.27356869849519	2.12368605679954	0.767495700822816	aCap | PH1	5.9
BPD+PH 1	BPD+PH	aCap	RPS27L	247	TRUE	8.88962666468533	8.56120807908553	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	RPS27L	7.73199158030551	1.38000769414943	0.838861326127123	aCap | PH1	8.9
BPD+PH 1	BPD+PH	aCap	S100A6	9866	TRUE	14.2018850322849	13.8728015257513	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	S100A6	12.3630990353464	1.87462551968418	0.980881769521779	aCap | PH1	14.2
BPD+PH 1	BPD+PH	aCap	TINAGL1	100	TRUE	7.59653501325269	7.26910524707085	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	TINAGL1	6.31150961114199	1.58976904511092	0.808309487508636	aCap | PH1	7.6
BPD+PH 1	BPD+PH	aCap	ZFP36L2	29	TRUE	5.85670835201957	5.53318088962564	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ZFP36L2	7.16877744721768	1.64612933226514	-0.797063189070721	aCap | PH1	5.9
BPD+PH 1	BPD+PH	aCap	ZMAT3	22	TRUE	5.47832781939194	5.15646747559359	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	ZMAT3	3.59743284190735	2.60191265428315	0.722889361558063	aCap | PH1	5.5
BPD+PH 2	BPD+PH	aCap	APLN	43	TRUE	8.57918979444755	8.51464046533209	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	APLN	7.74005102478059	1.06912581641232	0.784883085587499	aCap | PH2	8.6
BPD+PH 2	BPD+PH	aCap	BAX	29	TRUE	8.01556752257747	7.95057730019313	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	BAX	5.55466111120963	3.14603145613255	0.782225621606804	aCap | PH2	8.0
BPD+PH 2	BPD+PH	aCap	CCN2	63	TRUE	9.12713135646218	9.06287344184185	post-projection exploratory annotation: one-to-one ortholog, mouse high-confidence breadth >=3, expression-eligible, and direction-concordant in every BPD+PH-versus-BPD donor pairing within All Endothelial, gCap, and aCap	CCN2	6.32003185385861	3.55220313998397	0.790241827953634	aCap | PH2	9.1
