source	target	ligand	receptor	pair	ages_tested	positive_ages	nominal_ages	median_delta	min_p	min_fdr	priority_score	reported_in_external_p53_cellchat
Epithelial	Cap-a	Wnt11	Fzd3	Wnt11–Fzd3	1	0	0	-0.4947012720389019	0.11904761904761904	0.20754598135550514	0.0	False
Myeloid	Cap-a	Wnt11	Fzd1	Wnt11–Fzd1	1	0	1	-0.49484384031800444	0.015151515151515152	0.046602387511478424	0.0	False
Fibroblast	Cap-a	Fst	Inhbb	Fst–Inhbb	1	0	0	-0.4949501477737359	0.30952380952380953	0.41908975979772445	0.0	False
Myeloid	Cap	Lama2	Itga1	Lama2–Itga1	1	0	0	-0.49499417415562985	0.3484848484848485	0.5051860890787065	0.0	False
Cap	Cap	Vegfd	Itgb1	Vegfd–Itgb1	2	1	1	-0.4951413128802935	0.04112554112554113	0.0797905797905798	0.0	False
Lymphoid	Cap	Pf4	Sdc2	Pf4–Sdc2	1	0	0	-0.4952521289336438	0.21645021645021645	0.4392874884678164	0.0	False
Cap-a	Cap-a	Lama5	Itga6	Lama5–Itga6	1	0	1	-0.4954179611243612	0.0021645021645021645	0.00698429477499245	0.0	False
Mural	Cap-a	Lrfn4	Ptprd	Lrfn4–Ptprd	1	0	1	-0.495538678384257	0.008658008658008658	0.019971848192707087	0.0	False
Cap	Cap-a	Tgm2	Tbxa2r	Tgm2–Tbxa2r	1	0	1	-0.4956012947182864	0.004329004329004329	0.0137012987012987	0.0	False
Fibroblast	Cap-a	Rgma	Neo1	Rgma–Neo1	1	0	1	-0.4960107670790246	0.012987012987012988	0.030758714969241287	0.0	False
Mural	Cap	Col4a4	Itgb1	Col4a4–Itgb1	1	0	0	-0.4960829476926776	0.06060606060606061	0.10560541032644037	0.0	False
Fibroblast	Cap-a	Rgmb	Bmpr2	Rgmb–Bmpr2	1	0	1	-0.496092448782794	0.004329004329004329	0.012265512265512266	0.0	False
Cap-a	Cap-a	Jam2	F11r	Jam2–F11r	1	0	1	-0.49637625354970893	0.004329004329004329	0.012012987012987014	0.0	False
Fibroblast	Cap-a	Hras	Cav1	Hras–Cav1	1	0	1	-0.49665400013200234	0.0021645021645021645	0.00716815651880587	0.0	False
Fibroblast	Cap-a	Pecam1	Efnb2	Pecam1–Efnb2	1	0	1	-0.49672828387436097	0.0021645021645021645	0.00716815651880587	0.0	False
Lymphoid	Cap	Reln	Itgb1	Reln–Itgb1	1	0	0	-0.49682433151984995	0.17316017316017315	0.3787496367001667	0.0	False
Cap-a	Cap-a	Wnt5a	Fzd8	Wnt5a–Fzd8	1	0	1	-0.49701762231172664	0.023809523809523808	0.05285714285714285	0.0	False
Cap	Cap-a	Lamb3	Itga3	Lamb3–Itga3	1	0	0	-0.4975821605392734	0.5	0.6342685370741483	0.0	False
Cap	Cap	Sfrp2	Wnt4	Sfrp2–Wnt4	1	0	0	-0.4979525992856514	0.12121212121212122	0.19795073032483104	0.0	False
Cap	Cap-a	Apoe	Sorl1	Apoe–Sorl1	1	0	0	-0.49798408655398196	0.5238095238095238	0.6605008537279454	0.0	False
Cap	Cap	Dhh	Hhip	Dhh–Hhip	2	0	0	-0.49821838767516735	0.08008658008658008	0.15157079424431608	0.0	False
Cap-a	Cap-a	Wnt5a	Fzd4	Wnt5a–Fzd4	1	0	0	-0.4983465968250007	0.07575757575757576	0.1406202493159015	0.0	False
Fibroblast	Cap-a	Wnt5a	Fzd3	Wnt5a–Fzd3	1	0	0	-0.49866435208409454	0.1277056277056277	0.20438243764603597	0.0	False
Cap	Cap	Pomc	Ramp3	Pomc–Ramp3	2	1	1	-0.4986848192748201	0.021645021645021644	0.27542269051703017	0.0	False
Mural	Cap-a	Bmp6	Acvr2a	Bmp6–Acvr2a	1	0	0	-0.4988608060187283	0.354978354978355	0.4801146096110125	0.0	False
Epithelial	Cap	Apob	Adrb2	Apob–Adrb2	1	0	1	-0.4989241264040607	0.02813852813852814	0.06380456061984725	0.0	False
Mural	Cap-a	Ccl3	Ackr2	Ccl3–Ackr2	1	0	0	-0.49981465820628124	0.33766233766233766	0.46167650531286897	0.0	False
Myeloid	Cap	Wnt5a	Fzd3	Wnt5a–Fzd3	2	0	0	-0.5001126926079176	0.07792207792207792	0.16340940612785274	0.0	False
Mural	Cap-a	Bmp6	Acvrl1	Bmp6–Acvrl1	1	0	0	-0.5007335161553295	0.4653679653679654	0.5881625377423697	0.0	False
Cap	Cap	Thbs2	Cd36	Thbs2–Cd36	1	0	0	-0.5008876832699558	0.48484848484848486	0.6025215660252157	0.0	False
Cap	Cap	Fbn1	Itga5	Fbn1–Itga5	2	0	1	-0.5010720838770777	0.0021645021645021645	0.0073701298701298705	0.0	False
Mural	Cap-a	Lama4	Dag1	Lama4–Dag1	1	0	1	-0.5011415515277342	0.0021645021645021645	0.006563329143974305	0.0	False
Fibroblast	Cap	Ephb3	Efnb1	Ephb3–Efnb1	2	0	1	-0.5014110598619583	0.0021645021645021645	0.007373677498158825	0.0	False
Myeloid	Cap	Tgfb1	Sdc2	Tgfb1–Sdc2	2	0	1	-0.5016484489360422	0.017316017316017316	0.05031739560887543	0.0	False
Cap	Cap	Efna4	Epha4	Efna4–Epha4	2	1	1	-0.5017013352575033	0.0021645021645021645	0.0073701298701298705	0.0	False
Cap	Cap	Epha4	Efna4	Epha4–Efna4	2	1	1	-0.5017013352575033	0.0021645021645021645	0.0073701298701298705	0.0	False
Cap-a	Cap-a	Col4a1	Itga1	Col4a1–Itga1	1	0	1	-0.5020096891588928	0.0021645021645021645	0.00698429477499245	0.0	False
Mural	Cap	Ryk	Fzd8	Ryk–Fzd8	2	0	2	-0.5025695351071644	0.010822510822510822	0.023815389669048205	0.0	False
Mural	Cap-a	Wnt5a	Fzd8	Wnt5a–Fzd8	1	0	1	-0.5027349335693976	0.0021645021645021645	0.006563329143974305	0.0	False
Mural	Cap-a	Sema4d	Plxnb1	Sema4d–Plxnb1	1	0	0	-0.502833262265863	0.329004329004329	0.4506580244285162	0.0	False
Cap	Cap-a	Bmp4	Acvr1	Bmp4–Acvr1	1	0	1	-0.5033893391297797	0.015151515151515152	0.037030537030537033	0.0	False
Mural	Cap	Wnt5b	Fzd3	Wnt5b–Fzd3	2	1	1	-0.5036325957212868	0.004329004329004329	0.011525086934923	0.0	False
Lymphoid	Cap-a	Reln	Itgb1	Reln–Itgb1	1	0	0	-0.5037219947541245	0.16666666666666666	0.36945500633713557	0.0	False
Epithelial	Cap	Wnt4	Fzd6	Wnt4–Fzd6	2	0	1	-0.503779807248141	0.010822510822510822	0.029523477799339868	0.0	False
