source	target	ligand	receptor	pair	ages_tested	positive_ages	nominal_ages	median_delta	min_p	min_fdr	priority_score	reported_in_external_p53_cellchat
Cap	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	2	2	2	2.1871113912742524	0.0021645021645021645	0.0073701298701298705	23.311475273625323	True
Epithelial	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	2	2	2	0.9464824443561357	0.0021645021645021645	0.009397106958082567	10.088147401433297	True
Fibroblast	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	2	2	2	0.677714320686069	0.0021645021645021645	0.007373677498158825	7.223464105342418	True
Mural	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	2	2	2	0.6445932567656749	0.0021645021645021645	0.0065581184984170055	6.87044099655298	True
Cap	Cap	Apln	Aplnr	Apln–Aplnr	2	2	2	0.5788513938461706	0.0021645021645021645	0.0073701298701298705	6.169726886606708	True
Cap	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	2.3000697394339595	0.0021645021645021645	0.007919825838900984	6.1288623744021695	True
Cap-a	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	2.239282104796079	0.0021645021645021645	0.006764069264069264	5.966885091551304	True
Cap-a	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	2.184196696188471	0.0021645021645021645	0.00698429477499245	5.82010219953481	True
Cap-a	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	1	1.6813080122664794	0.0021645021645021645	0.00698429477499245	4.480083903324094	True
Cap-a	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	1	1.4447057435306596	0.0021645021645021645	0.006764069264069264	3.8496235665388183	True
Cap-a	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	1	1	1.4282677218412068	0.0021645021645021645	0.006764069264069264	3.80582212395	True
Cap-a	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	1	1	1.4180085939812481	0.0021645021645021645	0.00698429477499245	3.7784852212217572	True
Cap	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	2	2	1	0.6924010779161944	0.0021645021645021645	0.0073701298701298705	3.6900019522715986	True
Cap	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	1	1.3282813523182844	0.0021645021645021645	0.007919825838900984	3.5393942467357555	True
Cap	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	2	2	1	0.6241793701454392	0.0021645021645021645	0.0073701298701298705	3.3264290999314428	True
Cap	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	1	1	1.037643152261706	0.0021645021645021645	0.007919825838900984	2.764947499164918	True
Epithelial	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	1.0267518950616368	0.0021645021645021645	0.00885967035035358	2.735926198063036	True
Mural	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	0.7282730480192972	0.0021645021645021645	0.006563329143974305	1.9405869334184211	True
Lymphoid	Cap-a	Ccl4	Ackr2	Ccl4–Ackr2	1	1	1	0.8709430821878632	0.006493506493506494	0.03473132372214941	1.9052060389551255	True
Lymphoid	Cap	Ccl4	Ackr2	Ccl4–Ackr2	2	1	1	0.5786627380258103	0.0021645021645021645	0.016339351705205365	1.541929021433812	True
Fibroblast	Cap	Adm	Calcrl	Adm–Calcrl	2	2	1	0.37475172445908655	0.01948051948051948	0.20025974025974025	1.2819502988823441	True
Myeloid	Cap	Ccl4	Ackr2	Ccl4–Ackr2	2	1	1	0.40308118970436	0.0021645021645021645	0.009606831524639745	1.0740670576433393	True
Myeloid	Cap-a	Ccl4	Ackr2	Ccl4–Ackr2	1	1	1	0.41244642909535223	0.004329004329004329	0.01588170865279299	0.9748633208735105	True
Mural	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	1	0.40993115096533916	0.004329004329004329	0.011585093435627244	0.9689181793526509	True
Epithelial	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	1	0.35155916078235716	0.006493506493506494	0.02077291640398437	0.769042948811284	True
Fibroblast	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	1	1	0.22951370345506739	0.032467532467532464	0.06451340866925281	0.3416427877247111	True
Fibroblast	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	2	1	1	0.10048215409923178	0.0021645021645021645	0.007373677498158825	0.26774896560711203	True
Cap-a	Cap	Adm	Calcrl	Adm–Calcrl	1	1	0	0.5928631120135011	0.4155844155844156	0.5516607286518792	0.0	True
Cap	Cap	Adm	Calcrl	Adm–Calcrl	1	1	0	0.4980636144364783	0.5887445887445888	0.691267353336319	0.0	True
Cap-a	Cap-a	Adm	Calcrl	Adm–Calcrl	1	1	0	0.4175633389350559	0.6341991341991342	0.7425749356129103	0.0	True
Mural	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	2	2	0	0.3161012882838401	0.6558441558441559	0.7553626149131768	0.0	True
Cap	Cap-a	Adm	Calcrl	Adm–Calcrl	1	1	0	0.3017625394023824	0.7359307359307359	0.8303817394726485	0.0	True
Epithelial	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	2	2	0	0.20979015945462498	0.3484848484848485	0.5012549739822467	0.0	True
Epithelial	Cap	Ccl4	Ackr2	Ccl4–Ackr2	2	2	0	0.10479382619471744	0.7597402597402597	0.9342748506246604	0.0	True
Fibroblast	Cap	Ccl4	Ackr2	Ccl4–Ackr2	2	2	0	0.10025979509655403	0.4935064935064935	0.6137947020299961	0.0	True
Mural	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	2	2	0	0.073403572875967	0.18398268398268397	0.28187535734705543	0.0	True
Epithelial	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	2	1	0	0.05317201524983317	0.10173160173160173	0.18430763468931405	0.0	True
Epithelial	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	1	0	0.046415367167556454	0.5800865800865801	0.7079204745871412	0.0	True
Fibroblast	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	1	0	0.022067160047011924	0.8441558441558441	0.893193942986474	0.0	True
Lymphoid	Cap	Adm	Calcrl	Adm–Calcrl	2	1	0	0.014067243878325364	0.461038961038961	0.692567496915323	0.0	True
Mural	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	1	0	0.002370310913375917	0.9848484848484849	0.9887931383258486	0.0	True
Myeloid	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	2	1	0	-0.03392270631967298	0.08225108225108226	0.17028339073067508	0.0	True
Myeloid	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	2	0	0	-0.09399492092917816	0.19696969696969696	0.33412660637791525	0.0	True
Fibroblast	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	2	1	1	-0.10343304548284893	0.049783549783549784	0.09352927773980405	0.0	True
Cap-a	Cap	Ccl4	Ackr2	Ccl4–Ackr2	1	0	0	-0.10856967963079778	0.8354978354978355	0.8893033411422203	0.0	True
Fibroblast	Cap-a	Adm	Calcrl	Adm–Calcrl	1	0	0	-0.1179448097247171	0.25757575757575757	0.3602293501745055	0.0	True
Myeloid	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	0	0	-0.1275712613821942	0.42424242424242425	0.6008456659619451	0.0	True
Myeloid	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	2	0	0	-0.13409607827427394	0.14935064935064934	0.27261752332174866	0.0	True
Fibroblast	Cap-a	Ccl4	Ackr2	Ccl4–Ackr2	1	0	0	-0.14814311457003182	0.45670995670995673	0.561709191130413	0.0	True
Mural	Cap	Adm	Calcrl	Adm–Calcrl	1	0	0	-0.16643879160700958	0.48917748917748916	0.6120371667367045	0.0	True
Fibroblast	Cap	Apln	Aplnr	Apln–Aplnr	2	1	1	-0.18436161090467884	0.030303030303030304	0.06173396495977141	0.0	True
Mural	Cap	Ccl4	Ackr2	Ccl4–Ackr2	2	0	0	-0.22200680578834775	0.6428571428571429	0.7457142857142857	0.0	True
Epithelial	Cap-a	Ccl4	Ackr2	Ccl4–Ackr2	1	0	0	-0.249983199707712	0.3008658008658009	0.4291570622739454	0.0	True
Lymphoid	Cap-a	Tgfb2	Acvr1	Tgfb2–Acvr1	1	0	0	-0.2843909525140784	0.7272727272727273	0.8686839297837261	0.0	True
Cap	Cap	Ccl4	Ackr2	Ccl4–Ackr2	2	0	0	-0.3160009513457622	0.42857142857142855	0.5527597402597402	0.0	True
Myeloid	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	0	0	-0.3538065318992203	0.0735930735930736	0.1572567783094099	0.0	True
Fibroblast	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	0	1	-0.35499696494247335	0.0021645021645021645	0.00716815651880587	0.0	True
Mural	Cap-a	Adm	Calcrl	Adm–Calcrl	1	0	0	-0.37051330242564307	0.1471861471861472	0.23252937538651827	0.0	True
Myeloid	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	0	1	-0.40400720332157114	0.017316017316017316	0.05144124168514412	0.0	True
Cap-a	Cap-a	Ccl4	Ackr2	Ccl4–Ackr2	1	0	0	-0.41868166672906626	0.474025974025974	0.6089917027417028	0.0	True
Lymphoid	Cap	Tgfb2	Acvr1	Tgfb2–Acvr1	1	0	0	-0.43517531751389416	0.42207792207792205	0.6647995770133175	0.0	True
Myeloid	Cap	Apln	Aplnr	Apln–Aplnr	2	0	0	-0.4817194045934575	0.05194805194805195	0.11770048133684498	0.0	True
Lymphoid	Cap	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	0	0	-0.49623849171755197	0.3203463203463203	0.5570066637482367	0.0	True
Lymphoid	Cap-a	Tgfb2	Tgfbr1	Tgfb2–Tgfbr1	1	0	0	-0.4980788246561483	0.3463203463203463	0.5903648008911166	0.0	True
Epithelial	Cap	Apln	Aplnr	Apln–Aplnr	1	0	0	-0.51393156222108	0.07575757575757576	0.1430753154891086	0.0	True
Mural	Cap-a	Ccl4	Ackr2	Ccl4–Ackr2	1	0	0	-0.5889653140027877	0.1645021645021645	0.25559013988766055	0.0	True
Cap-a	Cap	Apln	Aplnr	Apln–Aplnr	1	0	1	-0.5963079974941694	0.0021645021645021645	0.006764069264069264	0.0	True
Lymphoid	Cap-a	Adm	Calcrl	Adm–Calcrl	1	0	0	-0.7717582798128402	0.3787878787878788	0.616852886405959	0.0	True
Cap	Cap-a	Ccl4	Ackr2	Ccl4–Ackr2	1	0	0	-0.7741058343524987	0.2554112554112554	0.38864260739260736	0.0	True
Mural	Cap	Apln	Aplnr	Apln–Aplnr	1	0	0	-0.7883487062469732	0.21428571428571427	0.31868131868131866	0.0	True
Lymphoid	Cap	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	0	0	-0.9184048579054978	0.19696969696969696	0.41754877542548774	0.0	True
Lymphoid	Cap-a	Gdf15	Tgfbr2	Gdf15–Tgfbr2	1	0	0	-1.0643258502154962	0.13636363636363635	0.32186234817813764	0.0	True
Cap	Cap-a	Apln	Aplnr	Apln–Aplnr	1	0	1	-1.077858348150623	0.03463203463203463	0.07258966199363551	0.0	True
Lymphoid	Cap	Apln	Aplnr	Apln–Aplnr	1	0	1	-1.1173799433021105	0.008658008658008658	0.04322022063957548	0.0	True
Epithelial	Cap-a	Apln	Aplnr	Apln–Aplnr	1	0	1	-1.2016453686153525	0.004329004329004329	0.015014809751651856	0.0	True
Mural	Cap-a	Apln	Aplnr	Apln–Aplnr	1	0	1	-1.2924600409109401	0.049783549783549784	0.08892453548035496	0.0	True
Myeloid	Cap-a	Apln	Aplnr	Apln–Aplnr	1	0	1	-1.4207458860137205	0.0021645021645021645	0.009218054672600126	0.0	True
Fibroblast	Cap-a	Apln	Aplnr	Apln–Aplnr	1	0	1	-1.5145830464494645	0.0021645021645021645	0.00716815651880587	0.0	True
Lymphoid	Cap-a	Apln	Aplnr	Apln–Aplnr	1	0	1	-1.746365085958458	0.0021645021645021645	0.016604010025062656	0.0	True
Cap-a	Cap-a	Apln	Aplnr	Apln–Aplnr	1	0	1	-2.485052747936913	0.0021645021645021645	0.00698429477499245	0.0	True
Myeloid	Cap	Inhba	Eng	Inhba–Eng	2	2	2	1.7282339881679094	0.0021645021645021645	0.009606831524639745	18.42049931381992	False
Mural	Cap	Sema3a	Plxna2	Sema3a–Plxna2	2	2	2	1.4836717748111294	0.0021645021645021645	0.0065581184984170055	15.813816356438364	False
Myeloid	Cap	Inhba	Bambi	Inhba–Bambi	2	2	2	1.4756671849116356	0.0021645021645021645	0.009606831524639745	15.728498891465149	False
Fibroblast	Cap	Cxcl10	Sdc4	Cxcl10–Sdc4	2	2	2	1.4525902715592307	0.0021645021645021645	0.007373677498158825	15.48253204352479	False
Cap	Cap	Ace	Bdkrb2	Ace–Bdkrb2	2	2	2	1.4119960838233678	0.0021645021645021645	0.0073701298701298705	15.049856137106447	False
Myeloid	Cap	Inhba	Tgfb1	Inhba–Tgfb1	2	2	2	1.3431611518533595	0.0021645021645021645	0.009606831524639745	14.316174340659108	False
Mural	Cap	Sema3a	Plxna4	Sema3a–Plxna4	2	2	2	1.3243895030091162	0.0021645021645021645	0.0065581184984170055	14.116095446816027	False
Mural	Cap	Cxcl10	Sdc4	Cxcl10–Sdc4	2	2	2	1.3179600627781964	0.0021645021645021645	0.0065581184984170055	14.047566821541475	False
Mural	Cap	Ace	Bdkrb2	Ace–Bdkrb2	2	2	2	1.3150404735381183	0.0021645021645021645	0.0065581184984170055	14.016448181379499	False
Mural	Cap	Sema3a	Nrp1	Sema3a–Nrp1	2	2	2	1.313250012754799	0.0021645021645021645	0.0065581184984170055	13.99736443354422	False
Fibroblast	Cap	Timp1	Cd63	Timp1–Cd63	2	2	2	1.2777940208733927	0.0021645021645021645	0.007373677498158825	13.61945433653553	False
Mural	Cap	Sema3a	Nrp2	Sema3a–Nrp2	2	2	2	1.2518486916146654	0.0021645021645021645	0.0065581184984170055	13.342914282885813	False
Cap	Cap	Lamb1	Itgb1	Lamb1–Itgb1	2	2	2	1.2430416467417755	0.0021645021645021645	0.0073701298701298705	13.249043797090177	False
Mural	Cap	Timp1	Cd63	Timp1–Cd63	2	2	2	1.182854250806003	0.0021645021645021645	0.0065581184984170055	12.607532350650674	False
Fibroblast	Cap	Saa3	Scarb1	Saa3–Scarb1	2	2	2	1.4199039682550616	0.006493506493506494	0.017422120363296836	12.424277408623468	False
Myeloid	Cap	Inhba	Acvr1	Inhba–Acvr1	2	2	2	1.1327922970653246	0.0021645021645021645	0.009606831524639745	12.073943617387632	False
Mural	Cap	Sema3a	Plxna1	Sema3a–Plxna1	2	2	2	1.0912431039863868	0.0021645021645021645	0.0065581184984170055	11.631088721673137	False
Cap	Cap	Lamb1	Itga3	Lamb1–Itga3	2	2	2	1.073816955062605	0.0021645021645021645	0.0073701298701298705	11.445350930094735	False
Cap	Cap	Adam12	Sdc4	Adam12–Sdc4	2	2	2	1.056784605774195	0.0021645021645021645	0.0073701298701298705	11.263810478669809	False
Cap	Cap-a	Inhba	Tgfb2	Inhba–Tgfb2	1	1	1	4.062958940756241	0.0021645021645021645	0.007919825838900984	10.826330938500133	False
Fibroblast	Cap	Adam12	Sdc4	Adam12–Sdc4	2	2	2	0.9997696861429652	0.0021645021645021645	0.007373677498158825	10.656113086340474	False
Myeloid	Cap	Inhba	Acvr2a	Inhba–Acvr2a	2	2	2	0.9718076724760647	0.0021645021645021645	0.009606831524639745	10.358078064988886	False
Cap-a	Cap-a	Inhba	Tgfb2	Inhba–Tgfb2	1	1	1	3.844409874210101	0.0021645021645021645	0.00698429477499245	10.24397592206268	False
Cap	Cap	Lamb1	Itga2	Lamb1–Itga2	2	2	2	0.9570608451762144	0.0021645021645021645	0.0073701298701298705	10.200898004871053	False
Myeloid	Cap	Pf4	Procr	Pf4–Procr	2	2	2	1.067301905757164	0.004329004329004329	0.01650114591291062	10.090750282437398	False
Myeloid	Cap	Tnfsf12	Tnfrsf12a	Tnfsf12–Tnfrsf12a	2	2	2	0.9380181907757763	0.0021645021645021645	0.009606831524639745	9.99793057990539	False
Cap	Cap	Inhba	Tgfb2	Inhba–Tgfb2	1	1	1	3.7511349737925515	0.0021645021645021645	0.0073701298701298705	9.99543170714426	False
Cap	Cap	Lamb1	Itgav	Lamb1–Itgav	2	2	2	0.9228957037123384	0.0021645021645021645	0.0073701298701298705	9.836746524689225	False
Cap	Cap	Lamb1	Itga6	Lamb1–Itga6	2	2	2	0.9143471822565774	0.0021645021645021645	0.0073701298701298705	9.745631528289373	False
Fibroblast	Cap	Tnc	Sdc4	Tnc–Sdc4	2	2	2	0.903541078216235	0.0021645021645021645	0.007373677498158825	9.630453934616881	False
Myeloid	Cap	Inhba	Tgfb2	Inhba–Tgfb2	2	2	1	1.78607992539099	0.0021645021645021645	0.009606831524639745	9.518527081789971	False
Fibroblast	Cap	Tnfsf12	Tnfrsf12a	Tnfsf12–Tnfrsf12a	2	2	2	0.8878978337500962	0.0021645021645021645	0.007373677498158825	9.463719351263444	False
Cap	Cap	Col4a1	Sdc4	Col4a1–Sdc4	2	2	2	0.8749356688258048	0.0021645021645021645	0.0073701298701298705	9.32556123625805	False
Mural	Cap	Tnc	Sdc4	Tnc–Sdc4	2	2	2	0.870504015807398	0.0021645021645021645	0.0065581184984170055	9.278326161642264	False
Mural	Cap	Fst	Inhba	Fst–Inhba	1	1	1	3.463992334154603	0.0021645021645021645	0.0065581184984170055	9.230299376592995	False
Cap	Cap-a	Inhba	Eng	Inhba–Eng	1	1	1	3.4614165200689775	0.0021645021645021645	0.007919825838900984	9.22343575425921	False
Mural	Cap	Dcn	Tgfb2	Dcn–Tgfb2	2	2	1	1.7302681015789523	0.0021645021645021645	0.0065581184984170055	9.221090024866173	False
Cap-a	Cap	Inhba	Tgfb2	Inhba–Tgfb2	1	1	1	3.4589816546395227	0.0021645021645021645	0.006764069264069264	9.216947709631054	False
Fibroblast	Cap	Fn1	Sdc4	Fn1–Sdc4	2	2	2	0.8568638934979798	0.0021645021645021645	0.007373677498158825	9.132941991812682	False
Mural	Cap-a	Dcn	Tgfb2	Dcn–Tgfb2	1	1	1	3.4082012695192834	0.0021645021645021645	0.006563329143974305	9.08163616390476	False
Cap	Cap	Inhba	Eng	Inhba–Eng	1	1	1	3.4034231275133453	0.0021645021645021645	0.0073701298701298705	9.068904126150569	False
Cap	Cap	Col4a2	Sdc4	Col4a2–Sdc4	2	2	2	0.8489434968227956	0.0021645021645021645	0.0073701298701298705	9.048521906037678	False
Fibroblast	Cap	C3	Cd81	C3–Cd81	2	2	2	0.9532479080510752	0.004329004329004329	0.012648087381183466	9.012432701106587	False
Mural	Cap	Fn1	Sdc4	Fn1–Sdc4	2	2	2	0.8402717557188173	0.0021645021645021645	0.0065581184984170055	8.956093564650415	False
Fibroblast	Cap	Cxcl13	Htr2a	Cxcl13–Htr2a	2	2	2	0.8365438305231415	0.0021645021645021645	0.007373677498158825	8.91635922081789	False
Mural	Cap	Tnfsf12	Tnfrsf12a	Tnfsf12–Tnfrsf12a	2	2	2	0.8346332622667014	0.0021645021645021645	0.0065581184984170055	8.89599529932479	False
Fibroblast	Cap	Lif	Il6st	Lif–Il6st	2	2	2	0.8327053972075364	0.0021645021645021645	0.007373677498158825	8.875447018685353	False
Cap	Cap	Tnfsf12	Tnfrsf12a	Tnfsf12–Tnfrsf12a	2	2	2	0.8125180043307723	0.0021645021645021645	0.0073701298701298705	8.66027832093948	False
Fibroblast	Cap	Mdk	Sdc4	Mdk–Sdc4	2	2	2	0.8017921894503166	0.0021645021645021645	0.007373677498158825	8.545956494729452	False
Mural	Cap	Col4a1	Sdc4	Col4a1–Sdc4	2	2	2	0.7935129474329483	0.0021645021645021645	0.0065581184984170055	8.457711631508381	False
Mural	Cap-a	Fst	Inhba	Fst–Inhba	1	1	1	3.1380846194437297	0.0021645021645021645	0.006563329143974305	8.361871999816833	False
Fibroblast	Cap	Cxcl12	Sdc4	Cxcl12–Sdc4	2	2	2	0.7802572312893588	0.0021645021645021645	0.007373677498158825	8.316424680899319	False
Myeloid	Cap	Mfge8	Itgav	Mfge8–Itgav	2	2	2	0.7634680511459748	0.0021645021645021645	0.009606831524639745	8.137476064318383	False
Mural	Cap	Col4a2	Sdc4	Col4a2–Sdc4	2	2	2	0.7622825489436487	0.0021645021645021645	0.0065581184984170055	8.124840308596653	False
Cap	Cap	Col6a1	Sdc4	Col6a1–Sdc4	2	2	2	0.756705874465804	0.0021645021645021645	0.0073701298701298705	8.065400945005942	False
Fibroblast	Cap	Igf1	Igf2r	Igf1–Igf2r	2	2	2	0.753902478876157	0.0021645021645021645	0.007373677498158825	8.035520762756894	False
Mural	Cap	Cxcl12	Sdc4	Cxcl12–Sdc4	2	2	2	0.7531339705250573	0.0021645021645021645	0.0065581184984170055	8.02732956431327	False
Mural	Cap	Igf1	Igf2r	Igf1–Igf2r	2	2	2	0.75249037564878	0.0021645021645021645	0.0065581184984170055	8.020469764622945	False
Myeloid	Cap-a	Inhba	Tgfb2	Inhba–Tgfb2	1	1	1	3.008905329188952	0.0021645021645021645	0.009218054672600126	8.017655440631405	False
Cap-a	Cap-a	Inhba	Eng	Inhba–Eng	1	1	1	2.9871241907377417	0.0021645021645021645	0.00698429477499245	7.959616504838909	False
Cap	Cap	Inhba	Smad3	Inhba–Smad3	1	1	1	2.9789423293254917	0.0021645021645021645	0.0073701298701298705	7.937814773481645	False
Mural	Cap	Col1a1	Sdc4	Col1a1–Sdc4	2	2	2	0.7392064443947111	0.0021645021645021645	0.0065581184984170055	7.878882081342969	False
Cap-a	Cap	Inhba	Eng	Inhba–Eng	1	1	1	2.9256704874498816	0.0021645021645021645	0.006764069264069264	7.795864387504706	False
Cap	Cap	Lamb1	Dag1	Lamb1–Dag1	2	2	2	0.7288664367505455	0.0021645021645021645	0.0073701298701298705	7.76867240775811	False
Fibroblast	Cap	Icam1	Il2rg	Icam1–Il2rg	2	2	2	0.7271870015666229	0.0021645021645021645	0.007373677498158825	7.750772033812885	False
Myeloid	Cap-a	S100a9	Tlr4	S100a9–Tlr4	1	1	1	2.8986963526306058	0.0021645021645021645	0.009218054672600126	7.723987975610953	False
Cap	Cap	Tfpi	Sdc4	Tfpi–Sdc4	2	2	2	0.7222608089791864	0.0021645021645021645	0.0073701298701298705	7.698265875620259	False
Cap	Cap	Inhba	Bambi	Inhba–Bambi	1	1	1	2.8724919491672156	0.0021645021645021645	0.0073701298701298705	7.654162622197996	False
Cap-a	Cap	Inhba	Smad3	Inhba–Smad3	1	1	1	2.8615291154349545	0.0021645021645021645	0.006764069264069264	7.62495059526397	False
Myeloid	Cap-a	S100a8	Tlr4	S100a8–Tlr4	1	1	1	2.859913768101438	0.0021645021645021645	0.009218054672600126	7.62064627295398	False
Fibroblast	Cap	Col4a1	Sdc4	Col4a1–Sdc4	2	2	2	0.7126797606369024	0.0021645021645021645	0.007373677498158825	7.59614562128953	False
Lymphoid	Cap-a	Rps27a	Tlr4	Rps27a–Tlr4	1	1	1	2.8476545578525334	0.0021645021645021645	0.016604010025062656	7.58797986673758	False
Mural	Cap	Pdgfc	Kdr	Pdgfc–Kdr	2	2	1	1.4238244048704247	0.0021645021645021645	0.0065581184984170055	7.587964550077907	False
Cap	Cap-a	Inhba	Bambi	Inhba–Bambi	1	1	1	2.8456381917533533	0.0021645021645021645	0.007919825838900984	7.582606972991616	False
Mural	Cap	Fgf2	Sdc4	Fgf2–Sdc4	2	2	2	0.7067196261978606	0.0021645021645021645	0.0065581184984170055	7.532619123664615	False
Cap	Cap-a	Inhba	Tgfb1	Inhba–Tgfb1	1	1	1	2.8166696796683395	0.0021645021645021645	0.007919825838900984	7.505416259720484	False
Myeloid	Cap	Fn1	Sdc4	Fn1–Sdc4	2	2	2	0.7018500951403768	0.0021645021645021645	0.009606831524639745	7.480716896236434	False
Cap	Cap	Lamb1	Itga1	Lamb1–Itga1	2	2	2	0.7013488716180936	0.0021645021645021645	0.0073701298701298705	7.4753745712899855	False
Mural	Cap-a	Rps27a	Tlr4	Rps27a–Tlr4	1	1	1	2.80129572575011	0.0021645021645021645	0.006563329143974305	7.464450176779704	False
Myeloid	Cap-a	Rps27a	Tlr4	Rps27a–Tlr4	1	1	1	2.7926585136089885	0.0021645021645021645	0.009218054672600126	7.441435098756688	False
Cap	Cap	Inhba	Tgfb1	Inhba–Tgfb1	1	1	1	2.7828433291479606	0.0021645021645021645	0.0073701298701298705	7.415281146244007	False
Fibroblast	Cap-a	Bgn	Tlr4	Bgn–Tlr4	1	1	1	2.775044742772372	0.0021645021645021645	0.00716815651880587	7.394500705637614	False
Mural	Cap	Mdk	Sdc4	Mdk–Sdc4	2	2	2	0.6932703415343395	0.0021645021645021645	0.0065581184984170055	7.389269009842129	False
Fibroblast	Cap	Col4a2	Sdc4	Col4a2–Sdc4	2	2	2	0.6925624938845956	0.0021645021645021645	0.007373677498158825	7.381724367602904	False
Fibroblast	Cap	Col1a2	Sdc4	Col1a2–Sdc4	2	2	2	0.6914976286444725	0.0021645021645021645	0.007373677498158825	7.370374429134333	False
Epithelial	Cap-a	Rps27a	Tlr4	Rps27a–Tlr4	1	1	1	2.7610270997056867	0.0021645021645021645	0.00885967035035358	7.357148705523761	False
Fibroblast	Cap	Cxcl12	Ackr3	Cxcl12–Ackr3	2	2	2	0.6899287344372049	0.0021645021645021645	0.007373677498158825	7.353652263694765	False
Mural	Cap	Ptgs2	Cav1	Ptgs2–Cav1	2	2	2	0.9721460411505927	0.012987012987012988	0.042867701404286765	7.335777960574956	False
Mural	Cap-a	Bgn	Tlr4	Bgn–Tlr4	1	1	1	2.7492196157234803	0.0021645021645021645	0.006563329143974305	7.3256859880790675	False
Mural	Cap	Col6a1	Sdc4	Col6a1–Sdc4	2	2	2	0.6828005609520105	0.0021645021645021645	0.0065581184984170055	7.277676142583984	False
Fibroblast	Cap-a	Ubb	Tlr4	Ubb–Tlr4	1	1	1	2.7288381521993545	0.0021645021645021645	0.00716815651880587	7.2713766848494155	False
Epithelial	Cap-a	Sftpd	Tlr4	Sftpd–Tlr4	1	1	1	2.7229271641633823	0.0021645021645021645	0.00885967035035358	7.255626018011754	False
Fibroblast	Cap-a	Rps27a	Tlr4	Rps27a–Tlr4	1	1	1	2.722511372205861	0.0021645021645021645	0.00716815651880587	7.254518081308644	False
Cap	Cap-a	Rps27a	Tlr4	Rps27a–Tlr4	1	1	1	2.7215414000300346	0.0021645021645021645	0.007919825838900984	7.251933452733816	False
Mural	Cap-a	Ubb	Tlr4	Ubb–Tlr4	1	1	1	2.7071342427964047	0.0021645021645021645	0.006563329143974305	7.213543536820648	False
Fibroblast	Cap	Col1a1	Sdc4	Col1a1–Sdc4	2	2	2	0.674227592494812	0.0021645021645021645	0.007373677498158825	7.186300576159305	False
Cap	Cap	Lama1	Sdc4	Lama1–Sdc4	2	2	2	0.7556778008996374	0.004329004329004329	0.012652583468034112	7.144516412579735	False
Mural	Cap	Col1a2	Sdc4	Col1a2–Sdc4	2	2	2	0.6695424524007123	0.0021645021645021645	0.0065581184984170055	7.136363692334909	False
Cap	Cap-a	Ubb	Tlr4	Ubb–Tlr4	1	1	1	2.6751823896819755	0.0021645021645021645	0.007919825838900984	7.128403287815137	False
Lymphoid	Cap-a	Ubb	Tlr4	Ubb–Tlr4	1	1	1	2.674535880165819	0.0021645021645021645	0.016604010025062656	7.126680571420789	False
Cap-a	Cap-a	Ubb	Tlr4	Ubb–Tlr4	1	1	1	2.6696215294346453	0.0021645021645021645	0.00698429477499245	7.113585586179899	False
