analysis	configuration	method	mean_spearman_across_four_tasks	rank	Method
all_nonempty_subsets	10	sinkhorn_ot	0.3806777325863919	5.0	Sinkhorn OT
all_nonempty_subsets	10	vae_latent	0.4132902398393643	4.0	VAE
all_nonempty_subsets	11	cpa_adapted	0.4095105383025594	1.0	CPA-style
all_nonempty_subsets	11	cvae_counterfactual	0.4052462887519253	3.0	Conditional VAE
all_nonempty_subsets	11	gene_linear	0.0318275745351342	7.0	Gene shift
all_nonempty_subsets	11	pca_latent	0.3546304998824348	6.0	PCA shift
all_nonempty_subsets	11	scgen_adapted	0.4088521196773819	2.0	scGen-style
all_nonempty_subsets	11	sinkhorn_ot	0.3636509810449871	5.0	Sinkhorn OT
all_nonempty_subsets	11	vae_latent	0.3978522969849328	4.0	VAE
all_nonempty_subsets	12	cpa_adapted	0.4356744718299853	3.0	CPA-style
all_nonempty_subsets	12	cvae_counterfactual	0.4401012216117377	2.0	Conditional VAE
all_nonempty_subsets	12	gene_linear	0.0351054297289452	7.0	Gene shift
all_nonempty_subsets	12	pca_latent	0.3840835423878162	6.0	PCA shift
all_nonempty_subsets	12	scgen_adapted	0.4441786375451819	1.0	scGen-style
all_nonempty_subsets	12	sinkhorn_ot	0.3955663894505403	5.0	Sinkhorn OT
all_nonempty_subsets	12	vae_latent	0.4332583516516761	4.0	VAE
all_nonempty_subsets	13	cpa_adapted	0.4532025102651365	4.0	CPA-style
all_nonempty_subsets	13	cvae_counterfactual	0.4741610668836685	2.0	Conditional VAE
all_nonempty_subsets	13	gene_linear	0.0274003841384373	7.0	Gene shift
all_nonempty_subsets	13	pca_latent	0.4067840447519333	6.0	PCA shift
all_nonempty_subsets	13	scgen_adapted	0.4767437080479648	1.0	scGen-style
all_nonempty_subsets	13	sinkhorn_ot	0.4286865200231487	5.0	Sinkhorn OT
all_nonempty_subsets	13	vae_latent	0.4666487260632572	3.0	VAE
all_nonempty_subsets	14	cpa_adapted	0.4427375255963411	4.0	CPA-style
all_nonempty_subsets	14	cvae_counterfactual	0.4566473148415508	2.0	Conditional VAE
all_nonempty_subsets	14	gene_linear	0.0295294487924352	7.0	Gene shift
all_nonempty_subsets	14	pca_latent	0.3909009360750614	6.0	PCA shift
all_nonempty_subsets	14	scgen_adapted	0.4596239016073595	1.0	scGen-style
all_nonempty_subsets	14	sinkhorn_ot	0.4097782281018656	5.0	Sinkhorn OT
all_nonempty_subsets	14	vae_latent	0.4495770596588646	3.0	VAE
all_nonempty_subsets	15	cpa_adapted	0.4717577493025179	4.0	CPA-style
all_nonempty_subsets	15	cvae_counterfactual	0.4923754575051678	2.0	Conditional VAE
all_nonempty_subsets	15	gene_linear	0.029802147071973	7.0	Gene shift
all_nonempty_subsets	15	pca_latent	0.4200620360832565	6.0	PCA shift
all_nonempty_subsets	15	scgen_adapted	0.495340341057807	1.0	scGen-style
all_nonempty_subsets	15	sinkhorn_ot	0.4411041628806587	5.0	Sinkhorn OT
all_nonempty_subsets	15	vae_latent	0.4848878949182791	3.0	VAE
all_nonempty_subsets	16	cpa_adapted	0.3751701338876704	3.0	CPA-style
all_nonempty_subsets	16	cvae_counterfactual	0.3802019078194256	2.0	Conditional VAE
all_nonempty_subsets	16	gene_linear	0.0188904588256423	7.0	Gene shift
all_nonempty_subsets	16	pca_latent	0.3300329834846724	6.0	PCA shift
all_nonempty_subsets	16	scgen_adapted	0.3838790128426458	1.0	scGen-style
all_nonempty_subsets	16	sinkhorn_ot	0.3480080375652306	5.0	Sinkhorn OT
all_nonempty_subsets	16	vae_latent	0.3732328931750745	4.0	VAE
all_nonempty_subsets	17	cpa_adapted	0.3654224829992978	2.0	CPA-style
all_nonempty_subsets	17	cvae_counterfactual	0.3615176510959711	3.0	Conditional VAE
all_nonempty_subsets	17	gene_linear	0.0196193294983529	7.0	Gene shift
all_nonempty_subsets	17	pca_latent	0.3116895532463171	6.0	PCA shift
all_nonempty_subsets	17	scgen_adapted	0.3657162030219116	1.0	scGen-style
all_nonempty_subsets	17	sinkhorn_ot	0.3251162378519732	5.0	Sinkhorn OT
all_nonempty_subsets	17	vae_latent	0.3547656487863459	4.0	VAE
all_nonempty_subsets	18	cpa_adapted	0.3925130627652592	3.0	CPA-style
all_nonempty_subsets	18	cvae_counterfactual	0.3955279497006791	2.0	Conditional VAE
all_nonempty_subsets	18	gene_linear	0.0216875225460261	7.0	Gene shift
all_nonempty_subsets	18	pca_latent	0.3408013738237204	6.0	PCA shift
all_nonempty_subsets	18	scgen_adapted	0.4002089747832416	1.0	scGen-style
all_nonempty_subsets	18	sinkhorn_ot	0.3565320284584068	5.0	Sinkhorn OT
all_nonempty_subsets	18	vae_latent	0.3885214003241366	4.0	VAE
all_nonempty_subsets	19	cpa_adapted	0.4641753380228916	3.0	CPA-style
all_nonempty_subsets	19	cvae_counterfactual	0.4702637907267235	2.0	Conditional VAE
all_nonempty_subsets	19	gene_linear	0.0419479035611775	7.0	Gene shift
all_nonempty_subsets	19	pca_latent	0.4133791321147387	6.0	PCA shift
all_nonempty_subsets	19	scgen_adapted	0.472665339707339	1.0	scGen-style
all_nonempty_subsets	19	sinkhorn_ot	0.428636098380263	5.0	Sinkhorn OT
all_nonempty_subsets	19	vae_latent	0.4637325647128465	4.0	VAE
all_nonempty_subsets	20	cpa_adapted	0.4601873937915199	1.0	CPA-style
all_nonempty_subsets	20	cvae_counterfactual	0.4560422936855513	3.0	Conditional VAE
all_nonempty_subsets	20	gene_linear	0.0461776722804755	7.0	Gene shift
all_nonempty_subsets	20	pca_latent	0.4007855574207449	6.0	PCA shift
all_nonempty_subsets	20	scgen_adapted	0.4581477162984411	2.0	scGen-style
all_nonempty_subsets	20	sinkhorn_ot	0.4116093468388583	5.0	Sinkhorn OT
all_nonempty_subsets	20	vae_latent	0.4482946218584149	4.0	VAE
all_nonempty_subsets	21	cpa_adapted	0.4863513273189458	3.0	CPA-style
all_nonempty_subsets	21	cvae_counterfactual	0.4908972265453637	2.0	Conditional VAE
all_nonempty_subsets	21	gene_linear	0.0494555274742866	7.0	Gene shift
all_nonempty_subsets	21	pca_latent	0.4302385999261263	6.0	PCA shift
all_nonempty_subsets	21	scgen_adapted	0.4934742341662411	1.0	scGen-style
all_nonempty_subsets	21	sinkhorn_ot	0.4435247552444114	5.0	Sinkhorn OT
all_nonempty_subsets	21	vae_latent	0.4837006765251583	4.0	VAE
all_nonempty_subsets	22	cpa_adapted	0.503879365754097	4.0	CPA-style
all_nonempty_subsets	22	cvae_counterfactual	0.5249570718172945	2.0	Conditional VAE
all_nonempty_subsets	22	gene_linear	0.0417504818837786	7.0	Gene shift
all_nonempty_subsets	22	pca_latent	0.4529391022902433	6.0	PCA shift
all_nonempty_subsets	22	scgen_adapted	0.5260393046690242	1.0	scGen-style
all_nonempty_subsets	22	sinkhorn_ot	0.4766448858170198	5.0	Sinkhorn OT
all_nonempty_subsets	22	vae_latent	0.5170910509367393	3.0	VAE
all_nonempty_subsets	23	cpa_adapted	0.4934143810853016	4.0	CPA-style
all_nonempty_subsets	23	cvae_counterfactual	0.5074433197751769	2.0	Conditional VAE
all_nonempty_subsets	23	gene_linear	0.0438795465377766	7.0	Gene shift
all_nonempty_subsets	23	pca_latent	0.4370559936133715	6.0	PCA shift
all_nonempty_subsets	23	scgen_adapted	0.5089194982284188	1.0	scGen-style
all_nonempty_subsets	23	sinkhorn_ot	0.4577365938957367	5.0	Sinkhorn OT
all_nonempty_subsets	23	vae_latent	0.5000193845323467	3.0	VAE
all_nonempty_subsets	24	cpa_adapted	0.5224346047914785	4.0	CPA-style
all_nonempty_subsets	24	cvae_counterfactual	0.5431714624387939	2.0	Conditional VAE
all_nonempty_subsets	24	gene_linear	0.0441522448173144	7.0	Gene shift
all_nonempty_subsets	24	pca_latent	0.4662170936215666	6.0	PCA shift
all_nonempty_subsets	24	scgen_adapted	0.5446359376788663	1.0	scGen-style
all_nonempty_subsets	24	sinkhorn_ot	0.4890625286745298	5.0	Sinkhorn OT
all_nonempty_subsets	24	vae_latent	0.5353302197917612	3.0	VAE
all_nonempty_subsets	25	cpa_adapted	0.4258469893766309	3.0	CPA-style
all_nonempty_subsets	25	cvae_counterfactual	0.4309979127530516	2.0	Conditional VAE
all_nonempty_subsets	25	gene_linear	0.0332405565709837	7.0	Gene shift
all_nonempty_subsets	25	pca_latent	0.3761880410229826	6.0	PCA shift
all_nonempty_subsets	25	scgen_adapted	0.4331746094637051	1.0	scGen-style
all_nonempty_subsets	25	sinkhorn_ot	0.3959664033591016	5.0	Sinkhorn OT
all_nonempty_subsets	25	vae_latent	0.4236752180485567	4.0	VAE
all_nonempty_subsets	26	cpa_adapted	0.4160993384882583	1.0	CPA-style
all_nonempty_subsets	26	cvae_counterfactual	0.4123136560295971	3.0	Conditional VAE
all_nonempty_subsets	26	gene_linear	0.0339694272436942	7.0	Gene shift
all_nonempty_subsets	26	pca_latent	0.3578446107846272	6.0	PCA shift
all_nonempty_subsets	26	scgen_adapted	0.4150117996429708	2.0	scGen-style
all_nonempty_subsets	26	sinkhorn_ot	0.3730746036458443	5.0	Sinkhorn OT
all_nonempty_subsets	26	vae_latent	0.4052079736598281	4.0	VAE
all_nonempty_subsets	27	cpa_adapted	0.4431899182542197	3.0	CPA-style
all_nonempty_subsets	27	cvae_counterfactual	0.4463239546343052	2.0	Conditional VAE
all_nonempty_subsets	27	gene_linear	0.0360376202913674	7.0	Gene shift
all_nonempty_subsets	27	pca_latent	0.3869564313620305	6.0	PCA shift
all_nonempty_subsets	27	scgen_adapted	0.4495045714043009	1.0	scGen-style
all_nonempty_subsets	27	sinkhorn_ot	0.4044903942522779	5.0	Sinkhorn OT
all_nonempty_subsets	27	vae_latent	0.4389637251976187	4.0	VAE
all_nonempty_subsets	28	cpa_adapted	0.4628846058258882	5.0	CPA-style
all_nonempty_subsets	28	cvae_counterfactual	0.4693185802847526	3.0	Conditional VAE
all_nonempty_subsets	28	gene_linear	0.0995081798796956	7.0	Gene shift
all_nonempty_subsets	28	pca_latent	0.4553336400927633	6.0	PCA shift
all_nonempty_subsets	28	scgen_adapted	0.4807514127310395	2.0	scGen-style
all_nonempty_subsets	28	sinkhorn_ot	0.466515683396222	4.0	Sinkhorn OT
all_nonempty_subsets	28	vae_latent	0.4817631637903043	1.0	VAE
all_nonempty_subsets	29	cpa_adapted	0.4588966615945164	3.0	CPA-style
all_nonempty_subsets	29	cvae_counterfactual	0.4550970832435804	4.0	Conditional VAE
all_nonempty_subsets	29	gene_linear	0.1037379485989936	7.0	Gene shift
all_nonempty_subsets	29	pca_latent	0.4427400653987695	6.0	PCA shift
all_nonempty_subsets	29	scgen_adapted	0.4662337893221416	2.0	scGen-style
all_nonempty_subsets	29	sinkhorn_ot	0.4494889318548173	5.0	Sinkhorn OT
all_nonempty_subsets	29	vae_latent	0.4663252209358729	1.0	VAE
all_nonempty_subsets	30	cpa_adapted	0.4850605951219423	4.0	CPA-style
all_nonempty_subsets	30	cvae_counterfactual	0.4899520161033928	3.0	Conditional VAE
all_nonempty_subsets	30	gene_linear	0.1070158037928047	7.0	Gene shift
all_nonempty_subsets	30	pca_latent	0.4721931079041509	6.0	PCA shift
all_nonempty_subsets	30	scgen_adapted	0.5015603071899417	2.0	scGen-style
all_nonempty_subsets	30	sinkhorn_ot	0.4814043402603704	5.0	Sinkhorn OT
all_nonempty_subsets	30	vae_latent	0.5017312756026162	1.0	VAE
all_nonempty_subsets	31	cpa_adapted	0.5025886335570935	5.0	CPA-style
all_nonempty_subsets	31	cvae_counterfactual	0.5240118613753235	3.0	Conditional VAE
all_nonempty_subsets	31	gene_linear	0.0993107582022967	7.0	Gene shift
all_nonempty_subsets	31	pca_latent	0.4948936102682679	6.0	PCA shift
all_nonempty_subsets	31	scgen_adapted	0.5341253776927246	2.0	scGen-style
all_nonempty_subsets	31	sinkhorn_ot	0.5145244708329788	4.0	Sinkhorn OT
all_nonempty_subsets	31	vae_latent	0.5351216500141972	1.0	VAE
all_nonempty_subsets	32	cpa_adapted	0.4921236488882982	5.0	CPA-style
all_nonempty_subsets	32	cvae_counterfactual	0.5064981093332059	3.0	Conditional VAE
all_nonempty_subsets	32	gene_linear	0.1014398228562946	7.0	Gene shift
all_nonempty_subsets	32	pca_latent	0.4790105015913961	6.0	PCA shift
all_nonempty_subsets	32	scgen_adapted	0.5170055712521193	2.0	scGen-style
all_nonempty_subsets	32	sinkhorn_ot	0.4956161789116957	4.0	Sinkhorn OT
all_nonempty_subsets	32	vae_latent	0.5180499836098046	1.0	VAE
all_nonempty_subsets	33	cpa_adapted	0.521143872594475	5.0	CPA-style
all_nonempty_subsets	33	cvae_counterfactual	0.542226251996823	3.0	Conditional VAE
all_nonempty_subsets	33	gene_linear	0.1017125211358325	7.0	Gene shift
all_nonempty_subsets	33	pca_latent	0.5081716015995912	6.0	PCA shift
all_nonempty_subsets	33	scgen_adapted	0.5527220107025668	2.0	scGen-style
all_nonempty_subsets	33	sinkhorn_ot	0.5269421136904888	4.0	Sinkhorn OT
all_nonempty_subsets	33	vae_latent	0.5533608188692192	1.0	VAE
all_nonempty_subsets	34	cpa_adapted	0.4245562571796275	5.0	CPA-style
all_nonempty_subsets	34	cvae_counterfactual	0.4300527023110806	4.0	Conditional VAE
all_nonempty_subsets	34	gene_linear	0.0908008328895018	7.0	Gene shift
all_nonempty_subsets	34	pca_latent	0.4181425490010072	6.0	PCA shift
all_nonempty_subsets	34	scgen_adapted	0.4412606824874056	2.0	scGen-style
all_nonempty_subsets	34	sinkhorn_ot	0.4338459883750606	3.0	Sinkhorn OT
all_nonempty_subsets	34	vae_latent	0.4417058171260145	1.0	VAE
all_nonempty_subsets	35	cpa_adapted	0.4148086062912549	3.0	CPA-style
all_nonempty_subsets	35	cvae_counterfactual	0.4113684455876261	4.0	Conditional VAE
all_nonempty_subsets	35	gene_linear	0.0915297035622123	7.0	Gene shift
all_nonempty_subsets	35	pca_latent	0.3997991187626518	6.0	PCA shift
all_nonempty_subsets	35	scgen_adapted	0.4230978726666713	2.0	scGen-style
all_nonempty_subsets	35	sinkhorn_ot	0.4109541886618033	5.0	Sinkhorn OT
all_nonempty_subsets	35	vae_latent	0.4232385727372859	1.0	VAE
all_nonempty_subsets	36	cpa_adapted	0.4418991860572162	5.0	CPA-style
all_nonempty_subsets	36	cvae_counterfactual	0.4453787441923342	3.0	Conditional VAE
all_nonempty_subsets	36	gene_linear	0.0935978966098855	7.0	Gene shift
all_nonempty_subsets	36	pca_latent	0.4289109393400551	6.0	PCA shift
all_nonempty_subsets	36	scgen_adapted	0.4575906444280014	1.0	scGen-style
all_nonempty_subsets	36	sinkhorn_ot	0.4423699792682369	4.0	Sinkhorn OT
all_nonempty_subsets	36	vae_latent	0.4569943242750766	2.0	VAE
all_nonempty_subsets	37	cpa_adapted	0.4356098777576305	4.0	CPA-style
all_nonempty_subsets	37	cvae_counterfactual	0.4463587357124585	3.0	Conditional VAE
all_nonempty_subsets	37	gene_linear	0.069558506757331	7.0	Gene shift
all_nonempty_subsets	37	pca_latent	0.419567371278869	6.0	PCA shift
all_nonempty_subsets	37	scgen_adapted	0.4549894537315513	1.0	scGen-style
all_nonempty_subsets	37	sinkhorn_ot	0.4352896236713977	5.0	Sinkhorn OT
all_nonempty_subsets	37	vae_latent	0.4495839628221532	2.0	VAE
all_nonempty_subsets	38	cpa_adapted	0.4316219335262587	4.0	CPA-style
all_nonempty_subsets	38	cvae_counterfactual	0.4321372386712864	3.0	Conditional VAE
all_nonempty_subsets	38	gene_linear	0.073788275476629	7.0	Gene shift
all_nonempty_subsets	38	pca_latent	0.4069737965848753	6.0	PCA shift
all_nonempty_subsets	38	scgen_adapted	0.4404718303226534	1.0	scGen-style
all_nonempty_subsets	38	sinkhorn_ot	0.4182628721299929	5.0	Sinkhorn OT
all_nonempty_subsets	38	vae_latent	0.4341460199677217	2.0	VAE
all_nonempty_subsets	39	cpa_adapted	0.4577858670536846	4.0	CPA-style
all_nonempty_subsets	39	cvae_counterfactual	0.4669921715310987	3.0	Conditional VAE
all_nonempty_subsets	39	gene_linear	0.07706613067044	7.0	Gene shift
all_nonempty_subsets	39	pca_latent	0.4364268390902567	6.0	PCA shift
all_nonempty_subsets	39	scgen_adapted	0.4757983481904534	1.0	scGen-style
all_nonempty_subsets	39	sinkhorn_ot	0.450178280535546	5.0	Sinkhorn OT
all_nonempty_subsets	39	vae_latent	0.469552074634465	2.0	VAE
all_nonempty_subsets	40	cpa_adapted	0.4753139054888359	5.0	CPA-style
all_nonempty_subsets	40	cvae_counterfactual	0.5010520168030295	3.0	Conditional VAE
all_nonempty_subsets	40	gene_linear	0.0693610850799321	7.0	Gene shift
all_nonempty_subsets	40	pca_latent	0.4591273414543737	6.0	PCA shift
all_nonempty_subsets	40	scgen_adapted	0.5083634186932364	1.0	scGen-style
all_nonempty_subsets	40	sinkhorn_ot	0.4832984111081545	4.0	Sinkhorn OT
all_nonempty_subsets	40	vae_latent	0.5029424490460461	2.0	VAE
all_nonempty_subsets	41	cpa_adapted	0.4648489208200405	4.0	CPA-style
all_nonempty_subsets	41	cvae_counterfactual	0.4835382647609119	3.0	Conditional VAE
all_nonempty_subsets	41	gene_linear	0.07149014973393	7.0	Gene shift
all_nonempty_subsets	41	pca_latent	0.4432442327775019	6.0	PCA shift
all_nonempty_subsets	41	scgen_adapted	0.4912436122526311	1.0	scGen-style
all_nonempty_subsets	41	sinkhorn_ot	0.4643901191868713	5.0	Sinkhorn OT
all_nonempty_subsets	41	vae_latent	0.4858707826416535	2.0	VAE
all_nonempty_subsets	42	cpa_adapted	0.4938691445262173	5.0	CPA-style
all_nonempty_subsets	42	cvae_counterfactual	0.5192664074245289	3.0	Conditional VAE
all_nonempty_subsets	42	gene_linear	0.0717628480134678	7.0	Gene shift
all_nonempty_subsets	42	pca_latent	0.4724053327856969	6.0	PCA shift
all_nonempty_subsets	42	scgen_adapted	0.5269600517030786	1.0	scGen-style
all_nonempty_subsets	42	sinkhorn_ot	0.4957160539656645	4.0	Sinkhorn OT
all_nonempty_subsets	42	vae_latent	0.521181617901068	2.0	VAE
all_nonempty_subsets	43	cpa_adapted	0.3972815291113698	5.0	CPA-style
all_nonempty_subsets	43	cvae_counterfactual	0.4070928577387866	3.0	Conditional VAE
all_nonempty_subsets	43	gene_linear	0.0608511597671371	7.0	Gene shift
all_nonempty_subsets	43	pca_latent	0.3823762801871129	6.0	PCA shift
all_nonempty_subsets	43	scgen_adapted	0.4154987234879174	1.0	scGen-style
all_nonempty_subsets	43	sinkhorn_ot	0.4026199286502363	4.0	Sinkhorn OT
all_nonempty_subsets	43	vae_latent	0.4095266161578634	2.0	VAE
all_nonempty_subsets	44	cpa_adapted	0.3875338782229972	4.0	CPA-style
all_nonempty_subsets	44	cvae_counterfactual	0.3884086010153321	3.0	Conditional VAE
all_nonempty_subsets	44	gene_linear	0.0615800304398477	7.0	Gene shift
all_nonempty_subsets	44	pca_latent	0.3640328499487575	6.0	PCA shift
all_nonempty_subsets	44	scgen_adapted	0.3973359136671831	1.0	scGen-style
all_nonempty_subsets	44	sinkhorn_ot	0.379728128936979	5.0	Sinkhorn OT
all_nonempty_subsets	44	vae_latent	0.3910593717691348	2.0	VAE
all_nonempty_subsets	45	cpa_adapted	0.4146244579889586	4.0	CPA-style
all_nonempty_subsets	45	cvae_counterfactual	0.4224188996200402	3.0	Conditional VAE
all_nonempty_subsets	45	gene_linear	0.0636482234875208	7.0	Gene shift
all_nonempty_subsets	45	pca_latent	0.3931446705261608	6.0	PCA shift
all_nonempty_subsets	45	scgen_adapted	0.4318286854285131	1.0	scGen-style
all_nonempty_subsets	45	sinkhorn_ot	0.4111439195434126	5.0	Sinkhorn OT
all_nonempty_subsets	45	vae_latent	0.4248151233069255	2.0	VAE
all_nonempty_subsets	46	cpa_adapted	0.4806895969784797	5.0	CPA-style
all_nonempty_subsets	46	cvae_counterfactual	0.489479028613686	3.0	Conditional VAE
all_nonempty_subsets	46	gene_linear	0.0930117653568836	7.0	Gene shift
all_nonempty_subsets	46	pca_latent	0.4735034900971279	6.0	PCA shift
all_nonempty_subsets	46	scgen_adapted	0.5008102115040328	1.0	scGen-style
all_nonempty_subsets	46	sinkhorn_ot	0.4880212250145327	4.0	Sinkhorn OT
all_nonempty_subsets	46	vae_latent	0.4988801402809425	2.0	VAE
all_nonempty_subsets	47	cpa_adapted	0.4767016527471079	3.0	CPA-style
all_nonempty_subsets	47	cvae_counterfactual	0.4752575315725138	4.0	Conditional VAE
all_nonempty_subsets	47	gene_linear	0.0972415340761816	7.0	Gene shift
all_nonempty_subsets	47	pca_latent	0.4609099154031341	6.0	PCA shift
all_nonempty_subsets	47	scgen_adapted	0.4862925880951349	1.0	scGen-style
all_nonempty_subsets	47	sinkhorn_ot	0.4709944734731279	5.0	Sinkhorn OT
all_nonempty_subsets	47	vae_latent	0.4834421974265109	2.0	VAE
all_nonempty_subsets	48	cpa_adapted	0.5028655862745338	5.0	CPA-style
all_nonempty_subsets	48	cvae_counterfactual	0.5101124644323262	3.0	Conditional VAE
all_nonempty_subsets	48	gene_linear	0.1005193892699927	7.0	Gene shift
all_nonempty_subsets	48	pca_latent	0.4903629579085155	6.0	PCA shift
all_nonempty_subsets	48	scgen_adapted	0.5216191059629349	1.0	scGen-style
all_nonempty_subsets	48	sinkhorn_ot	0.502909881878681	4.0	Sinkhorn OT
all_nonempty_subsets	48	vae_latent	0.5188482520932542	2.0	VAE
all_nonempty_subsets	49	cpa_adapted	0.5203936247096851	5.0	CPA-style
all_nonempty_subsets	49	cvae_counterfactual	0.544172309704257	3.0	Conditional VAE
