task	gene_linear	pca_latent	vae_latent	cvae_counterfactual	scgen_adapted	cpa_adapted	sinkhorn_ot
P3 Cap	0.1982187892267016	0.4833944472422163	0.4194302252868433	0.371619267052394	0.3934541306773802	0.4148074270666274	0.4960124955061457
P3 Cap-a	0.1722831584861659	0.568079520699998	0.544854230517115	0.5472147728740249	0.5601617029371456	0.5728801334609439	0.5862111611212365
P7 Cap	0.2955831914046127	0.4543900662565875	0.43376342784791716	0.40594185373674324	0.37384773719745523	0.3950067558562869	0.4245397175849628
P7 Cap-a	0.292688647180166	0.5628618667829828	0.519782420391637	0.45060920463094967	0.46459944248870955	0.47948129859358274	0.5757675743612816
P14 Cap	0.2397676468973991	0.4313481751719638	0.4601893538859926	0.420182087340525	0.4720351112701683	0.43636380677147074	0.5164652105950066
P14 Cap-a	0.3050777452516597	0.581967358610869	0.5677621328830272	0.44716845023512136	0.521643224267961	0.5193746950509673	0.6025318688975653
