task	gene_linear	pca_latent	vae_latent	cvae_counterfactual	scgen_adapted	cpa_adapted	sinkhorn_ot
P7 Cap	0.0291471611220634	0.4338760702134889	0.4472031311986715	0.4831673662120662	0.45291008557164825	0.45014662283133894	0.45404473760137154
P7 Cap-a	0.0990754223010525	0.464093576625065	0.4531568418572542	0.4302988072359585	0.45146142680296986	0.4426509439330758	0.4806956506971412
P14 Cap	0.0085004717594048	0.206794927100695	0.27849834996432077	0.26732625372707725	0.2901160586777959	0.34590292953275886	0.2525183927525904
P14 Cap-a	0.0361033579744226	0.3524932697705875	0.44188595196584446	0.45671411510553817	0.45215001196606985	0.3715906048692935	0.3472428272911619
